Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3326,0,0.00255201,-0.0103804,3.12938,-1476.92,-4085.18,8.15066
3327,0,0.00257972,-0.0102954,3.12928,-1476.93,-4085.18,8.15065
3328,0,0.00246248,-0.0103712,3.12931,-1476.92,-4085.18,8.14849
3329,0,0.00245401,-0.0103787,3.1293,-1476.92,-4085.18,8.14499
3330,0,0.00212173,-0.0107072,3.12928,-1476.92,-4085.18,8.14569
3331,0,0.00223989,-0.0106643,3.12928,-1476.92,-4085.18,8.14674
3332,0,0.00239122,-0.0105685,3.12928,-1476.92,-4085.17,8.14352
3333,0,0.00232439,-0.0107485,3.12937,-1476.92,-4085.17,8.14197
3334,0,0.0025481,-0.0104837,3.12933,-1476.93,-4085.17,8.14369
3335,0,0.00231159,-0.0106923,3.12923,-1476.93,-4085.18,8.14376
3336,0,0.00218745,-0.0108129,3.12934,-1476.92,-4085.17,8.14335
3337,0,0.00243713,-0.0105964,3.12942,-1476.92,-4085.17,8.14485
3338,0,0.00215223,-0.0105867,3.12935,-1476.92,-4085.18,8.14528
3339,0,0.00205578,-0.010815,3.12937,-1476.92,-4085.18,8.14199
3340,0,0.00200726,-0.0107665,3.12936,-1476.92,-4085.18,8.14411
3341,0,0.00385414,-0.00851397,3.12924,-1476.96,-4085.2,8.16873
3342,0,0.00304425,-0.00949809,3.12928,-1476.94,-4085.19,8.15514
3343,0,0.00287679,-0.00985864,3.12933,-1476.93,-4085.18,8.14616
3344,0,0.00268742,-0.0101714,3.12936,-1476.92,-4085.18,8.13851
3345,0,0.00280629,-0.0102358,3.12936,-1476.92,-4085.18,8.13585
3346,0,0.0025226,-0.0104322,3.12929,-1476.92,-4085.18,8.13774
3347,0,0.00215766,-0.0107183,3.12932,-1476.92,-4085.18,8.14052
3348,0,0.00396425,-0.00852184,3.12923,-1476.95,-4085.2,8.16311
3349,0,0.00338112,-0.00925642,3.12926,-1476.94,-4085.19,8.15716
3350,0,0.00300438,-0.00984837,3.12937,-1476.93,-4085.18,8.15407
3351,0,0.00316454,-0.00979744,3.12937,-1476.93,-4085.19,8.15065
