Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00449181,-0.0125608,3.09538,-2102,-4187.34,12.7567
2,0,-0.00606669,-0.0272099,3.09395,-2101.96,-4187.2,12.5879
3,0,-0.00643731,-0.0271681,3.09402,-2101.96,-4187.2,12.5885
4,0,-0.00812963,-0.0257112,3.09398,-2101.96,-4187.19,12.5703
5,0,-0.0074666,-0.0261276,3.09397,-2101.95,-4187.19,12.576
6,0,-0.00721813,-0.0264901,3.09405,-2101.95,-4187.19,12.5825
7,0,-0.00714444,-0.0268211,3.09403,-2101.95,-4187.19,12.5864
8,0,-0.00702018,-0.026693,3.09388,-2101.95,-4187.2,12.5932
9,0,-0.00749367,-0.0270031,3.09379,-2101.95,-4187.2,12.5971
10,0,-0.00695607,-0.0268233,3.09401,-2101.95,-4187.2,12.5943
11,0,-0.0068823,-0.0267284,3.09395,-2101.95,-4187.2,12.5901
12,0,-0.00701101,-0.0268919,3.09391,-2101.95,-4187.19,12.5932
13,0,-0.002432,-0.0214924,3.09462,-2101.97,-4187.25,12.6607
14,0,-0.00387185,-0.0233314,3.09437,-2101.95,-4187.23,12.6343
15,0,-0.0048855,-0.0244811,3.09425,-2101.95,-4187.22,12.6173
16,0,-0.0056685,-0.0255281,3.09421,-2101.94,-4187.21,12.6019
17,0,-0.00600518,-0.0260096,3.09423,-2101.95,-4187.2,12.5997
18,0,-0.00602689,-0.0261708,3.09429,-2101.95,-4187.2,12.5966
19,0,-0.00656965,-0.026844,3.09414,-2101.95,-4187.2,12.5975
20,0,-0.00670569,-0.0270174,3.09414,-2101.94,-4187.2,12.5915
21,0,-0.00708763,-0.0271158,3.09402,-2101.94,-4187.19,12.5953
22,0,-0.00663568,-0.0267797,3.09405,-2101.95,-4187.19,12.5924
23,0,-0.00658478,-0.0264464,3.09393,-2101.95,-4187.2,12.585
24,0,-0.00615721,-0.0262929,3.094,-2101.95,-4187.2,12.5881
25,0,-0.00658239,-0.0265833,3.094,-2101.96,-4187.2,12.5911
26,0,-0.0065058,-0.0265881,3.09411,-2101.96,-4187.2,12.5952
27,0,-0.00643531,-0.0265651,3.09401,-2101.95,-4187.2,12.5899
28,0,-0.00665257,-0.0266387,3.094,-2101.95,-4187.2,12.5938
29,0,-0.00648617,-0.0264148,3.09397,-2101.96,-4187.2,12.5925
30,0,-0.00673955,-0.0266834,3.09411,-2101.95,-4187.2,12.593
31,0,-0.00695186,-0.0267935,3.09402,-2101.95,-4187.2,12.5995
32,0,-0.00675213,-0.0266844,3.09399,-2101.94,-4187.2,12.5945
33,0,-0.00679072,-0.0266622,3.09406,-2101.95,-4187.2,12.5915
34,0,-0.00681978,-0.0268609,3.09398,-2101.95,-4187.2,12.5931
35,0,-0.00670089,-0.0268355,3.09392,-2101.95,-4187.2,12.5902
36,0,-0.00693793,-0.0271294,3.09391,-2101.95,-4187.2,12.5884
37,0,-0.00642025,-0.0266993,3.09394,-2101.96,-4187.2,12.5881
38,0,-0.00630109,-0.0266743,3.09402,-2101.96,-4187.2,12.5941
39,0,-0.00622869,-0.0264913,3.09411,-2101.95,-4187.2,12.5957
40,0,-0.00135165,-0.020829,3.09479,-2101.98,-4187.26,12.655
41,0,-0.0016795,-0.0217129,3.09466,-2101.97,-4187.23,12.6284
42,0,-0.00365697,-0.0237099,3.09442,-2101.97,-4187.22,12.6185
43,0,-0.00548011,-0.0256907,3.09408,-2101.99,-4187.2,12.5745
44,0,-0.00563007,-0.0259181,3.09402,-2101.97,-4187.2,12.5769
45,0,-0.00629155,-0.0265887,3.09402,-2101.96,-4187.2,12.582
46,0,-0.006232,-0.0265256,3.09421,-2101.96,-4187.2,12.5846
47,0,-0.00652223,-0.0267375,3.09409,-2101.95,-4187.2,12.586
48,0,-0.00685926,-0.0266942,3.09393,-2101.95,-4187.2,12.5925
49,0,-0.00826386,-0.0252396,3.09397,-2101.95,-4187.2,12.574
50,0,-0.00758128,-0.0257204,3.0939,-2101.96,-4187.2,12.5821
51,0,-0.00740209,-0.0261365,3.09389,-2101.95,-4187.2,12.5873
52,0,-0.0070477,-0.0262784,3.09388,-2101.95,-4187.2,12.5893
53,0,-0.00679179,-0.0262865,3.09388,-2101.95,-4187.2,12.5905
54,0,-0.0020186,-0.0206865,3.09445,-2101.98,-4187.26,12.6547
55,0,-0.00248494,-0.0218119,3.09442,-2101.97,-4187.23,12.6251
56,0,-0.00438781,-0.0239358,3.09428,-2101.95,-4187.21,12.6114
57,0,-0.00541607,-0.0250872,3.09425,-2101.95,-4187.2,12.6045
58,0,-0.00594867,-0.0257621,3.09414,-2101.95,-4187.2,12.5988
59,0,-0.00581867,-0.0259192,3.09408,-2101.96,-4187.19,12.5954
60,0,-0.00639094,-0.0264572,3.09409,-2101.95,-4187.19,12.5945
61,0,-0.00769222,-0.0279848,3.09391,-2101.97,-4187.17,12.5633
62,0,-0.00698336,-0.0273921,3.09391,-2101.97,-4187.19,12.5765
63,0,-0.00675859,-0.0271403,3.09383,-2101.97,-4187.19,12.5775
64,0,-0.00706097,-0.0274963,3.09392,-2101.96,-4187.18,12.5797
65,0,-0.00631883,-0.0269526,3.09415,-2101.96,-4187.19,12.579
66,0,-0.00637181,-0.0267326,3.09405,-2101.96,-4187.19,12.5849
67,0,-0.006573,-0.0265635,3.09399,-2101.96,-4187.19,12.5892
68,0,-0.00671542,-0.026655,3.09396,-2101.95,-4187.19,12.5878
69,0,-0.00660285,-0.0267629,3.09401,-2101.95,-4187.2,12.589
70,0,-0.00680075,-0.0267746,3.09398,-2101.95,-4187.2,12.5863
71,0,-0.00740261,-0.0271531,3.09387,-2101.95,-4187.19,12.5896
72,0,-0.00686762,-0.026981,3.09401,-2101.95,-4187.2,12.5925
73,0,-0.00643673,-0.0267322,3.09409,-2101.96,-4187.2,12.5938
74,0,-0.00655619,-0.0269129,3.09418,-2101.96,-4187.19,12.5905
75,0,-0.00649759,-0.0268895,3.09427,-2101.96,-4187.19,12.589
76,0,-0.00647919,-0.0268575,3.09425,-2101.95,-4187.19,12.5894
77,0,-0.00686151,-0.0268177,3.09404,-2101.95,-4187.2,12.5914
78,0,-0.00672214,-0.0268018,3.09411,-2101.96,-4187.2,12.5919
79,0,-0.00666014,-0.0267905,3.09405,-2101.95,-4187.2,12.5871
80,0,-0.00636379,-0.0265946,3.09407,-2101.95,-4187.2,12.584
