Objects
100
,,Global Angle Miner1:Miner1,,,,,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
6656,0,-0.0333163,-0.0215562,0.078795,3519.73,6034.25,184.786,-0.0098163,-0.00327075,3.13162,-2038.01,-4076,82.529
6657,0,-0.0326778,-0.020459,0.0790283,3519.43,6034.27,184.747,-0.00753525,-0.0136867,3.1316,-2038.47,-4075.16,88.5923
6658,0,-0.0330553,-0.0209396,0.0786493,3519.67,6034.21,184.696,-0.000924301,-0.0174148,3.13167,-2038.99,-4074.35,94.9389
6659,0,-0.0327991,-0.0208355,0.0790862,3519.52,6034.29,184.747,0.00386312,-0.0230282,3.13153,-2039.38,-4073.46,101.377
6660,0,-0.0328733,-0.0203625,0.0787721,3519.56,6034.22,184.622,0.00844152,-0.0278156,3.13171,-2039.78,-4072.56,107.998
6661,0,-0.0330292,-0.0211088,0.0787744,3519.63,6034.24,184.795,0.00886975,-0.0367947,3.13164,-2040.09,-4071.56,114.621
6662,0,-0.0331859,-0.0211278,0.0787271,3519.59,6034.19,184.793,0.0144226,-0.0390531,3.13161,-2040.62,-4070.83,121.671
6663,0,-0.0331613,-0.0211289,0.0787986,3519.53,6034.19,184.736,0.0169935,-0.0428405,3.13164,-2040.9,-4070.01,128.665
6664,0,-0.032751,-0.0204803,0.0788383,3519.62,6034.25,184.677,0.0188983,-0.0455642,3.13136,-2041.24,-4069.28,135.819
6665,0,-0.0327978,-0.0208238,0.0789565,3519.53,6034.27,184.739,0.0211009,-0.0478292,3.13138,-2041.54,-4068.59,143.036
6666,0,-0.0328498,-0.0206926,0.0788528,3519.61,6034.24,184.682,0.0204702,-0.0528526,3.13144,-2041.78,-4067.82,150.264
6667,0,-0.0329851,-0.0207536,0.0788353,3519.73,6034.28,184.65,0.0231747,-0.0523063,3.13152,-2042.15,-4067.24,157.778
6668,0,-0.0328382,-0.0204145,0.0788827,3519.41,6034.22,184.674,0.0258583,-0.0505778,3.13154,-2042.45,-4066.69,165.287
6669,0,-0.0328906,-0.0208564,0.0786448,3519.6,6034.2,184.767,0.0258944,-0.0505618,3.13137,-2042.63,-4066.08,172.794
6670,0,-0.0326412,-0.0207451,0.0790948,3519.64,6034.29,184.732,0.0265757,-0.04967,3.13143,-2042.91,-4065.52,180.39
6671,0,-0.0328033,-0.0208482,0.0788124,3519.53,6034.24,184.75,0.026023,-0.0499668,3.13144,-2043.11,-4064.99,187.991
6672,0,-0.0329342,-0.0205865,0.0790123,3519.57,6034.25,184.652,0.0259735,-0.0487071,3.13144,-2043.29,-4064.5,195.683
6673,0,-0.0327758,-0.020495,0.0788083,3519.65,6034.26,184.672,0.0253387,-0.0477642,3.13159,-2043.42,-4064.05,203.341
6674,0,-0.0327633,-0.0205673,0.0787405,3519.62,6034.22,184.697,0.0253792,-0.0454201,3.13142,-2043.61,-4063.67,211.12
6675,0,-0.0329608,-0.020961,0.078798,3519.66,6034.25,184.707,0.0238132,-0.0443273,3.13146,-2043.69,-4063.24,218.839
6676,0,-0.032919,-0.0207861,0.0789264,3519.49,6034.24,184.765,0.022758,-0.0425549,3.13155,-2043.8,-4062.85,226.623
6677,0,-0.0330511,-0.0213117,0.0788771,3519.6,6034.26,184.809,0.0218999,-0.0412235,3.13164,-2043.9,-4062.54,234.373
6678,0,-0.0327697,-0.0204073,0.0788916,3519.65,6034.26,184.623,0.0178973,-0.0434874,3.13158,-2043.92,-4062.1,242.041
6679,0,-0.0329863,-0.0208781,0.0789118,3519.5,6034.25,184.714,0.0171445,-0.0414722,3.13172,-2044.07,-4061.86,249.912
6680,0,-0.0326763,-0.0205911,0.079,3519.64,6034.27,184.702,0.0152024,-0.0408729,3.13176,-2044.1,-4061.56,257.692
6681,0,-0.0327879,-0.0209041,0.0788857,3519.61,6034.27,184.754,0.015267,-0.0371022,3.13153,-2044.23,-4061.39,265.519
6682,0,-0.0329368,-0.0209593,0.0786909,3519.7,6034.21,184.727,0.0145827,-0.0355336,3.13134,-2044.26,-4061.12,273.277
6683,0,-0.0329791,-0.0210006,0.0787857,3519.52,6034.21,184.785,0.0143771,-0.0339007,3.13139,-2044.27,-4060.88,281.036
6684,0,-0.0328402,-0.0207946,0.0788634,3519.5,6034.23,184.733,0.0141401,-0.0326012,3.13159,-2044.27,-4060.69,288.735
6685,0,-0.033035,-0.0210275,0.0787989,3519.69,6034.23,184.735,0.0136293,-0.0323901,3.13157,-2044.31,-4060.5,296.407
6686,0,-0.0329651,-0.0207183,0.0789151,3519.49,6034.24,184.67,0.012803,-0.0322332,3.13169,-2044.31,-4060.27,304.103
6687,0,-0.0327195,-0.0206066,0.0788317,3519.55,6034.25,184.697,0.0129979,-0.031135,3.13175,-2044.31,-4060.15,311.722
6688,0,-0.0325577,-0.0204761,0.0789199,3519.65,6034.27,184.666,0.00866322,-0.0356908,3.13139,-2044.21,-4059.88,319.2
6689,0,-0.0331965,-0.0212829,0.0786745,3519.68,6034.2,184.783,0.00957569,-0.0336414,3.13099,-2044.32,-4059.88,326.89
6690,0,-0.0327122,-0.0204602,0.0789252,3519.62,6034.26,184.667,0.0117845,-0.0302784,3.13085,-2044.31,-4059.83,334.459
6691,0,-0.0329131,-0.0206023,0.0788616,3519.71,6034.28,184.656,0.0127534,-0.0294101,3.13083,-2044.22,-4059.69,341.906
6692,0,-0.0325505,-0.0205971,0.0789348,3519.54,6034.25,184.735,0.0135546,-0.0285956,3.13083,-2044.19,-4059.6,349.329
6693,0,-0.0327804,-0.0207255,0.0790175,3519.48,6034.25,184.704,0.0102548,-0.0327546,3.13076,-2044.06,-4059.45,356.575
6694,0,-0.0326368,-0.0205777,0.0788618,3519.63,6034.27,184.732,0.0127754,-0.0300342,3.13076,-2044.12,-4059.49,364.04
6695,0,-0.0330316,-0.0212334,0.0789216,3519.61,6034.25,184.779,0.0115329,-0.029467,3.13037,-2043.93,-4059.45,371.196
6696,0,-0.0327106,-0.0205705,0.0790187,3519.51,6034.28,184.748,0.0126428,-0.0280025,3.13055,-2043.94,-4059.44,378.51
6697,0,-0.0330571,-0.0209591,0.0787529,3519.73,6034.24,184.692,0.0106996,-0.030501,3.13051,-2043.78,-4059.37,385.567
6698,0,-0.0330662,-0.0211084,0.0788162,3519.77,6034.27,184.724,0.0106987,-0.0304546,3.13042,-2043.75,-4059.38,392.635
6699,0,-0.0327216,-0.0204822,0.0789809,3519.7,6034.28,184.649,0.00953307,-0.0310289,3.13026,-2043.6,-4059.38,399.641
6700,0,-0.0328447,-0.0209145,0.0788914,3519.52,6034.2,184.759,0.00950639,-0.0300851,3.13014,-2043.54,-4059.43,406.641
6701,0,-0.0325121,-0.0203839,0.0789529,3519.63,6034.28,184.679,0.0118488,-0.0258421,3.13025,-2043.48,-4059.52,413.617
6702,0,-0.033121,-0.0213258,0.0788793,3519.57,6034.24,184.796,0.0140298,-0.0216517,3.13039,-2043.33,-4059.63,420.411
6703,0,-0.0328542,-0.0205567,0.0790953,3519.57,6034.3,184.679,0.0150697,-0.019305,3.13042,-2043.18,-4059.67,427.114
6704,0,-0.0327692,-0.020621,0.0789997,3519.61,6034.28,184.702,0.0156595,-0.0173136,3.13052,-2043.06,-4059.75,433.755
6705,0,-0.0330386,-0.0206143,0.0789489,3519.42,6034.25,184.682,0.0153733,-0.0164638,3.13042,-2042.9,-4059.82,440.306
6706,0,-0.0324212,-0.0202958,0.0790148,3519.55,6034.26,184.711,0.0166121,-0.0141774,3.13045,-2042.77,-4059.94,446.817
6707,0,-0.0330692,-0.0209038,0.0787719,3519.72,6034.26,184.681,0.0155371,-0.014257,3.13039,-2042.59,-4059.96,453.16
6708,0,-0.0327869,-0.0204679,0.0789171,3519.5,6034.23,184.69,0.0156458,-0.0130468,3.13064,-2042.37,-4060.09,459.472
6709,0,-0.0330071,-0.020745,0.0789225,3519.65,6034.27,184.651,0.0154907,-0.012671,3.13081,-2042.24,-4060.15,465.679
6710,0,-0.0329545,-0.0210351,0.0787666,3519.65,6034.22,184.726,0.013675,-0.0111457,3.13064,-2041.99,-4060.31,471.783
6711,0,-0.0331287,-0.0214278,0.0788194,3519.64,6034.22,184.813,0.0126107,-0.0118474,3.13092,-2041.81,-4060.36,477.816
6712,0,-0.032978,-0.0208779,0.0788282,3519.6,6034.23,184.702,0.0104527,-0.0131528,3.13084,-2041.55,-4060.49,483.664
6713,0,-0.032917,-0.020706,0.0788609,3519.64,6034.21,184.691,0.00897681,-0.0131806,3.13072,-2041.4,-4060.62,489.533
6714,0,-0.0330777,-0.0208829,0.0789859,3519.52,6034.25,184.759,0.00755921,-0.0127846,3.13073,-2041.18,-4060.74,495.317
6715,0,-0.0331183,-0.0210366,0.0787612,3519.6,6034.21,184.74,0.00509455,-0.0135685,3.13081,-2040.96,-4060.81,500.95
6716,0,-0.0328074,-0.0206718,0.0789139,3519.56,6034.24,184.71,0.00314684,-0.0133988,3.13105,-2040.7,-4060.95,506.47
6717,0,-0.0326323,-0.0204248,0.0789765,3519.59,6034.25,184.665,-0.000804943,-0.0156694,3.13105,-2040.45,-4061.03,511.817
6718,0,-0.033344,-0.0212488,0.0787412,3519.64,6034.19,184.739,-0.00141752,-0.0133892,3.13099,-2040.34,-4061.24,517.286
6719,0,-0.0332156,-0.0215342,0.0788124,3519.59,6034.22,184.81,-0.00188756,-0.0105002,3.13098,-2040.08,-4061.44,522.565
6720,0,-0.0328142,-0.0207076,0.0789802,3519.65,6034.27,184.665,-0.00443817,-0.0111383,3.13089,-2039.88,-4061.49,527.619
