Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0144753,0.00550852,3.13723,-1473.52,-4087.57,8.00067
2,0,0.0143824,0.00491532,3.13721,-1473.53,-4087.57,8.00202
3,0,0.0144245,0.00492303,3.13724,-1473.52,-4087.57,8.00241
4,0,0.0145331,0.00488439,3.13724,-1473.52,-4087.57,7.99978
5,0,0.0144064,0.00499311,3.13722,-1473.52,-4087.57,8.00126
6,0,0.0145147,0.00499186,3.1372,-1473.52,-4087.57,7.99867
7,0,0.0145492,0.00496951,3.1372,-1473.52,-4087.57,7.99171
8,0,0.0146977,0.00512013,3.13724,-1473.52,-4087.57,7.99219
9,0,0.0145879,0.00505302,3.13718,-1473.52,-4087.57,7.99664
10,0,0.0146922,0.00505948,3.13716,-1473.53,-4087.57,7.99416
11,0,0.0144967,0.00494266,3.13717,-1473.53,-4087.57,7.9969
12,0,0.0143862,0.00485381,3.13722,-1473.53,-4087.57,7.99222
13,0,0.0141953,0.00474008,3.13729,-1473.52,-4087.57,7.99354
14,0,0.0144223,0.00492394,3.13728,-1473.52,-4087.57,7.9962
15,0,0.0145315,0.00480402,3.13727,-1473.52,-4087.56,7.99519
16,0,0.014492,0.00480069,3.13725,-1473.52,-4087.56,7.99551
17,0,0.0145912,0.00495827,3.13732,-1473.51,-4087.56,7.99484
18,0,0.0145702,0.00495238,3.13731,-1473.51,-4087.56,7.99377
19,0,0.0144333,0.0049835,3.13734,-1473.51,-4087.56,7.99454
20,0,0.0144291,0.00493796,3.13734,-1473.5,-4087.56,7.99394
21,0,0.014413,0.00480747,3.13732,-1473.51,-4087.56,7.99421
22,0,0.0143022,0.00479988,3.13726,-1473.52,-4087.56,7.99702
23,0,0.0142171,0.00481892,3.13734,-1473.51,-4087.56,7.99404
24,0,0.0142288,0.00485867,3.13729,-1473.5,-4087.56,7.99134
25,0,0.0145552,0.00514901,3.13724,-1473.51,-4087.57,7.99329
26,0,0.0143823,0.00485063,3.13714,-1473.52,-4087.57,7.99372
27,0,0.0144368,0.00474609,3.1372,-1473.52,-4087.57,7.99476
28,0,0.0143551,0.00471627,3.13718,-1473.52,-4087.56,7.99206
29,0,0.0144853,0.00490067,3.13719,-1473.52,-4087.57,7.99242
30,0,0.0141989,0.00469507,3.13722,-1473.51,-4087.57,7.99321
31,0,0.0144239,0.00493069,3.13716,-1473.52,-4087.57,7.99462
32,0,0.0144154,0.00505361,3.13723,-1473.51,-4087.57,7.99783
33,0,0.0143639,0.00489402,3.13716,-1473.52,-4087.57,7.99527
34,0,0.0144304,0.00489502,3.13716,-1473.52,-4087.57,7.99994
35,0,0.0147656,0.00513034,3.13722,-1473.53,-4087.57,7.99818
36,0,0.0147364,0.00517756,3.13722,-1473.53,-4087.57,7.99687
37,0,0.0148481,0.00511342,3.13725,-1473.53,-4087.57,7.99703
38,0,0.0146283,0.00484519,3.13718,-1473.53,-4087.57,7.99559
39,0,0.0146309,0.00490303,3.13725,-1473.52,-4087.57,7.99678
40,0,0.0143576,0.00477689,3.1372,-1473.51,-4087.57,7.99363
41,0,0.0141957,0.00459711,3.13716,-1473.51,-4087.57,7.99431
42,0,0.0142062,0.0047601,3.13719,-1473.52,-4087.57,7.99305
43,0,0.0143346,0.00482316,3.1372,-1473.51,-4087.57,7.99204
44,0,0.0114223,0.000195573,3.13632,-1473.54,-4087.51,7.91174
45,0,0.0127077,0.00193032,3.1367,-1473.53,-4087.53,7.94212
46,0,0.0126725,0.00232024,3.13712,-1473.49,-4087.54,7.94732
47,0,0.0134892,0.00336989,3.13714,-1473.51,-4087.55,7.9599
48,0,0.0139248,0.00407987,3.13712,-1473.51,-4087.56,7.96717
49,0,0.0139189,0.00421882,3.13718,-1473.51,-4087.57,7.97552
50,0,0.0138723,0.00449181,3.13722,-1473.51,-4087.57,7.97922
51,0,0.0140762,0.00457839,3.13726,-1473.52,-4087.57,7.97875
52,0,0.0144239,0.00481323,3.13728,-1473.52,-4087.57,7.97873
53,0,0.0144758,0.0048674,3.13732,-1473.51,-4087.57,7.98309
54,0,0.014762,0.00505017,3.13727,-1473.52,-4087.57,7.9843
55,0,0.0146012,0.00512404,3.1373,-1473.51,-4087.57,7.9889
56,0,0.0145605,0.00498398,3.13728,-1473.51,-4087.57,7.98962
57,0,0.0145168,0.00492704,3.13722,-1473.52,-4087.57,7.98988
58,0,0.0143531,0.00491141,3.13723,-1473.51,-4087.57,7.98928
59,0,0.0144652,0.00495014,3.13729,-1473.51,-4087.57,7.98928
60,0,0.0142349,0.00462529,3.13728,-1473.51,-4087.57,7.99473
61,0,0.0143595,0.00467032,3.13732,-1473.52,-4087.57,7.99599
62,0,0.0142234,0.00467916,3.13729,-1473.51,-4087.57,7.99936
63,0,0.0142179,0.00471426,3.13727,-1473.51,-4087.57,7.99809
64,0,0.0145502,0.00503636,3.13722,-1473.51,-4087.57,7.99688
65,0,0.0145273,0.00501379,3.1372,-1473.51,-4087.57,7.99529
66,0,0.0141517,0.00469353,3.13724,-1473.51,-4087.56,7.99672
67,0,0.0142336,0.00476174,3.13711,-1473.52,-4087.57,7.99951
68,0,0.0142211,0.00475529,3.13717,-1473.51,-4087.57,7.99773
69,0,0.0142837,0.00471428,3.13725,-1473.51,-4087.56,7.9988
70,0,0.0144623,0.00484192,3.13723,-1473.52,-4087.57,7.99876
71,0,0.0141792,0.00462711,3.13716,-1473.52,-4087.57,8.00236
72,0,0.0141383,0.00461557,3.13724,-1473.53,-4087.56,8.00427
73,0,0.014087,0.00475683,3.13719,-1473.52,-4087.57,8.00492
74,0,0.013972,0.00466872,3.1372,-1473.52,-4087.56,8.00379
75,0,0.0140766,0.00470521,3.13717,-1473.52,-4087.57,8.00294
76,0,0.0140805,0.00454,3.1372,-1473.52,-4087.57,7.99806
77,0,0.0141517,0.00463492,3.13718,-1473.52,-4087.57,7.99834
78,0,0.0142952,0.0049059,3.13716,-1473.52,-4087.57,7.99768
79,0,0.014195,0.00483276,3.13719,-1473.51,-4087.57,7.9992
80,0,0.0143299,0.00470907,3.13719,-1473.51,-4087.56,7.99586
81,0,0.0142134,0.00476631,3.13717,-1473.51,-4087.56,7.99567
82,0,0.0144293,0.00489351,3.13718,-1473.51,-4087.57,7.99377
83,0,0.0142467,0.00470063,3.13715,-1473.51,-4087.57,7.99228
84,0,0.0143456,0.00479531,3.13712,-1473.51,-4087.57,7.99019
85,0,0.0142908,0.0047319,3.13715,-1473.51,-4087.57,7.98951
86,0,0.0144833,0.00496332,3.13726,-1473.52,-4087.57,7.99243
87,0,0.0143221,0.00471728,3.13728,-1473.52,-4087.57,7.99768
88,0,0.0142333,0.00479998,3.1373,-1473.52,-4087.57,7.99816
89,0,0.0143404,0.00493434,3.13726,-1473.52,-4087.57,7.99807
90,0,0.0143523,0.0049796,3.13718,-1473.52,-4087.57,7.99411
91,0,0.0141691,0.0049326,3.1372,-1473.51,-4087.57,7.99434
92,0,0.0143506,0.00497124,3.13726,-1473.51,-4087.57,7.99443
93,0,0.014312,0.00478381,3.13731,-1473.5,-4087.57,7.99336
94,0,0.0143252,0.0048508,3.13728,-1473.51,-4087.57,7.99227
95,0,0.0143362,0.00475036,3.13723,-1473.51,-4087.56,7.9951
96,0,0.0143787,0.00476299,3.13724,-1473.51,-4087.57,7.99249
97,0,0.0142975,0.00470427,3.13726,-1473.51,-4087.57,7.99488
98,0,0.0142579,0.00469833,3.13723,-1473.51,-4087.57,7.99734
99,0,0.0142122,0.00473577,3.13726,-1473.51,-4087.57,7.9999
100,0,0.0142303,0.00462593,3.13729,-1473.51,-4087.56,7.99592
101,0,0.0143635,0.0048227,3.13725,-1473.51,-4087.57,7.99591
102,0,0.0114585,0.0001583,3.13631,-1473.54,-4087.51,7.91066
103,0,0.00894992,-0.00253255,3.13668,-1473.5,-4087.43,7.90009
104,0,0.00466476,-0.00765693,3.13635,-1473.48,-4087.38,7.85698
105,0,0.00379228,-0.00913826,3.13555,-1473.53,-4087.41,7.83797
106,0,0.0028697,-0.0102289,3.13578,-1473.52,-4087.35,7.84727
107,0,0.00104399,-0.0125002,3.13591,-1473.48,-4087.32,7.8218
108,0,-0.000664442,-0.014517,3.1358,-1473.46,-4087.32,7.799
109,0,-0.000634192,-0.0142518,3.13604,-1473.46,-4087.31,7.80725
110,0,0.00519843,-0.00648295,3.13648,-1473.48,-4087.42,7.89497
111,0,0.00196112,-0.0107691,3.13613,-1473.47,-4087.38,7.84212
112,0,0.00260699,-0.0100102,3.13647,-1473.46,-4087.37,7.85439
113,0,0.00131217,-0.0118033,3.13642,-1473.45,-4087.33,7.83264
114,0,0.000400153,-0.0129455,3.13617,-1473.46,-4087.31,7.82817
115,0,0.000282847,-0.0133262,3.13609,-1473.45,-4087.3,7.82438
116,0,-0.000522182,-0.0138751,3.13597,-1473.46,-4087.3,7.84162
117,0,-0.000127215,-0.0136275,3.13587,-1473.47,-4087.3,7.84188
118,0,-0.000301828,-0.0139279,3.13599,-1473.46,-4087.29,7.84064
119,0,-0.000225135,-0.0139193,3.13608,-1473.46,-4087.29,7.84197
120,0,-0.000477168,-0.0141987,3.13607,-1473.44,-4087.29,7.83365
121,0,-0.0012475,-0.0147966,3.13599,-1473.45,-4087.28,7.84526
122,0,-0.00126354,-0.0147846,3.13605,-1473.46,-4087.29,7.85954
123,0,-0.00256745,-0.0162848,3.13599,-1473.44,-4087.28,7.84358
124,0,-0.00157033,-0.015478,3.13613,-1473.45,-4087.28,7.85152
125,0,-0.00163901,-0.0154194,3.13613,-1473.46,-4087.28,7.859
126,0,-0.00261052,-0.0166939,3.13601,-1473.44,-4087.27,7.85063
127,0,-0.00190493,-0.0158111,3.13628,-1473.44,-4087.27,7.86675
128,0,-0.00150259,-0.0150278,3.1361,-1473.46,-4087.28,7.88893
129,0,-0.00131626,-0.0148958,3.1361,-1473.46,-4087.27,7.90023
130,0,-0.000686233,-0.014364,3.13604,-1473.46,-4087.28,7.90429
131,0,-0.00113548,-0.0149326,3.13603,-1473.47,-4087.27,7.90312
132,0,-0.00120723,-0.0153586,3.13597,-1473.47,-4087.27,7.90837
133,0,-0.000551328,-0.0147253,3.13602,-1473.48,-4087.27,7.92222
134,0,0.000499624,-0.0133754,3.13604,-1473.5,-4087.27,7.94965
135,0,8.98758e-05,-0.0141417,3.13589,-1473.49,-4087.26,7.94318
136,0,-0.000796474,-0.014941,3.13577,-1473.49,-4087.26,7.9479
137,0,-0.000282191,-0.0145136,3.13584,-1473.5,-4087.27,7.96548
138,0,0.000412904,-0.0137053,3.13616,-1473.49,-4087.26,7.98974
139,0,7.84837e-05,-0.0141041,3.13606,-1473.5,-4087.26,7.99952
140,0,8.57166e-06,-0.0143535,3.13593,-1473.5,-4087.25,7.99639
141,0,-0.000296392,-0.0145184,3.13595,-1473.49,-4087.24,8.00974
142,0,-0.000340331,-0.015001,3.13593,-1473.49,-4087.23,8.02168
143,0,-0.000277429,-0.0153513,3.1359,-1473.49,-4087.23,8.03179
144,0,1.87973e-06,-0.0153705,3.13586,-1473.49,-4087.24,8.04198
145,0,-0.000321317,-0.0157547,3.13583,-1473.49,-4087.24,8.04837
146,0,-0.000519573,-0.0163152,3.13567,-1473.49,-4087.23,8.05444
147,0,-0.00113895,-0.0169726,3.13565,-1473.47,-4087.22,8.05408
148,0,-0.000727813,-0.0164358,3.13561,-1473.48,-4087.21,8.08191
149,0,-0.000785724,-0.0157233,3.13507,-1473.49,-4087.2,8.11939
150,0,-0.000571179,-0.0144636,3.13433,-1473.48,-4087.21,8.17163
151,0,-0.00107234,-0.0139154,3.13331,-1473.45,-4087.21,8.22741
152,0,-0.0021966,-0.0134913,3.13199,-1473.42,-4087.22,8.27453
153,0,-0.00378825,-0.0132972,3.13087,-1473.35,-4087.21,8.32482
154,0,-0.00352006,-0.0104771,3.12955,-1473.33,-4087.22,8.43879
155,0,-0.00368942,-0.00739582,3.12867,-1473.29,-4087.21,8.55694
156,0,-0.00564499,-0.00543099,3.12799,-1473.24,-4087.17,8.69806
157,0,-0.00841013,-0.00308767,3.12748,-1473.17,-4087.1,8.89134
158,0,-0.0108331,0.00106322,3.12717,-1473.16,-4087.03,9.21914
159,0,-0.0131332,0.00706364,3.12686,-1473.15,-4086.99,9.67174
160,0,-0.0168094,0.0126777,3.12687,-1473.13,-4086.89,10.2017
161,0,-0.0200957,0.0190728,3.12712,-1473.12,-4086.77,10.8367
162,0,-0.0247233,0.0246093,3.12706,-1473.1,-4086.6,11.5913
163,0,-0.0295155,0.0302242,3.12744,-1473.05,-4086.38,12.4581
164,0,-0.0339909,0.0349351,3.12783,-1472.99,-4086.13,13.4092
165,0,-0.0385259,0.0393333,3.12826,-1472.96,-4085.85,14.5377
166,0,-0.0421065,0.0447915,3.12834,-1472.98,-4085.57,15.8146
167,0,-0.0457817,0.0492844,3.12846,-1473.03,-4085.23,17.2572
168,0,-0.0487552,0.053368,3.12885,-1473.06,-4084.81,18.8508
169,0,-0.0520117,0.0575482,3.12929,-1473.12,-4084.35,20.6505
170,0,-0.0555228,0.0588005,3.13011,-1473.15,-4083.79,22.5379
171,0,-0.057642,0.0603511,3.13023,-1473.3,-4083.24,24.67
172,0,-0.0603491,0.0595553,3.13068,-1473.4,-4082.57,26.9848
173,0,-0.0616985,0.0583777,3.13073,-1473.65,-4081.88,29.6867
174,0,-0.0639304,0.0543116,3.13086,-1473.82,-4081.1,32.5594
175,0,-0.0637843,0.0526142,3.13064,-1474.18,-4080.32,35.7983
176,0,-0.0622654,0.0498538,3.13067,-1474.55,-4079.47,39.3802
177,0,-0.0612334,0.0457408,3.13104,-1474.96,-4078.56,43.1965
178,0,-0.0617474,0.0389843,3.13132,-1475.34,-4077.55,47.2437
179,0,-0.0632911,0.0296318,3.13193,-1475.75,-4076.52,51.5681
180,0,-0.0642855,0.0197042,3.13224,-1476.26,-4075.49,56.0821
181,0,-0.0635017,0.0104075,3.13218,-1477.02,-4074.53,60.9008
182,0,-0.0621665,-0.000140911,3.13193,-1477.64,-4073.51,65.8733
183,0,-0.060899,-0.01197,3.13258,-1478.32,-4072.42,71.0256
184,0,-0.0579725,-0.0227901,3.13289,-1479.02,-4071.4,76.3596
185,0,-0.0536175,-0.0338641,3.13305,-1479.84,-4070.4,81.8985
186,0,-0.047494,-0.0424595,3.13321,-1480.74,-4069.46,87.6025
187,0,-0.0406889,-0.0507858,3.13328,-1481.55,-4068.53,93.3652
188,0,-0.0337948,-0.0590894,3.13322,-1482.37,-4067.65,99.297
189,0,-0.0253575,-0.0649906,3.13311,-1483.34,-4066.83,105.39
190,0,-0.0178472,-0.0720424,3.13323,-1484.17,-4066,111.524
191,0,-0.0110403,-0.0787045,3.13352,-1484.93,-4065.25,117.744
192,0,-0.00183912,-0.080739,3.13324,-1486,-4064.64,124.183
193,0,0.00617478,-0.0830185,3.13307,-1486.93,-4064.01,130.638
194,0,0.0121849,-0.085624,3.13295,-1487.73,-4063.41,137.123
195,0,0.0171822,-0.0878755,3.13313,-1488.52,-4062.84,143.684
196,0,0.0218212,-0.0880208,3.133,-1489.41,-4062.43,150.361
197,0,0.0259723,-0.086167,3.13319,-1490.27,-4062.05,157.136
198,0,0.0283259,-0.085285,3.13316,-1491.09,-4061.66,163.867
199,0,0.0286602,-0.0847543,3.13267,-1491.84,-4061.37,170.655
200,0,0.0295675,-0.0825878,3.13269,-1492.62,-4061.07,177.523
201,0,0.0294012,-0.0803427,3.13295,-1493.32,-4060.87,184.411
202,0,0.0289715,-0.0773817,3.13301,-1494.03,-4060.7,191.284
203,0,0.0294365,-0.0727268,3.13261,-1494.85,-4060.64,198.269
204,0,0.0261682,-0.0714338,3.13237,-1495.45,-4060.47,205.179
205,0,0.0247136,-0.0674388,3.13262,-1496.14,-4060.48,212.179
206,0,0.0228887,-0.0635344,3.13265,-1496.85,-4060.44,219.201
207,0,0.0176404,-0.0627928,3.13258,-1497.33,-4060.42,226.135
208,0,0.014642,-0.0602524,3.13239,-1498.08,-4060.51,233.192
209,0,0.0125726,-0.0565139,3.13241,-1498.75,-4060.62,240.215
210,0,0.00791584,-0.0556741,3.13242,-1499.29,-4060.67,247.216
211,0,0.00563588,-0.0528083,3.1321,-1499.99,-4060.85,254.29
212,0,0.00207217,-0.0510498,3.13212,-1500.53,-4060.96,261.306
213,0,0.00128833,-0.0471868,3.132,-1501.31,-4061.19,268.391
214,0,0.000208144,-0.0444438,3.13214,-1501.85,-4061.38,275.41
215,0,-0.00121459,-0.0422877,3.13193,-1502.51,-4061.57,282.423
216,0,-0.00204653,-0.0404734,3.13171,-1503.12,-4061.81,289.45
217,0,-0.00191899,-0.0379581,3.13149,-1503.87,-4062.09,296.501
218,0,-0.00136249,-0.0358134,3.13159,-1504.51,-4062.35,303.526
219,0,-0.00107534,-0.0346312,3.1314,-1505.14,-4062.64,310.514
220,0,-0.00117799,-0.0338879,3.1312,-1505.79,-4062.91,317.471
221,0,-0.000233419,-0.0322781,3.13097,-1506.52,-4063.21,324.463
222,0,0.00203224,-0.0297046,3.13108,-1507.2,-4063.58,331.455
223,0,0.00187658,-0.0309691,3.13124,-1507.81,-4063.77,338.292
224,0,0.00211815,-0.0308707,3.13115,-1508.43,-4064.12,345.207
225,0,0.00364602,-0.0303725,3.13114,-1509.2,-4064.52,352.112
226,0,0.00487129,-0.0303036,3.13096,-1509.93,-4064.87,358.958
227,0,0.00577323,-0.0297326,3.13093,-1510.6,-4065.23,365.806
228,0,0.00538077,-0.0318531,3.13113,-1511.13,-4065.56,372.507
229,0,0.00581523,-0.0325601,3.13086,-1511.88,-4065.98,379.302
230,0,0.00712115,-0.0321999,3.13073,-1512.63,-4066.4,386.036
231,0,0.00664506,-0.0337985,3.13094,-1513.21,-4066.79,392.671
232,0,0.00678347,-0.0347256,3.13082,-1513.88,-4067.19,399.284
233,0,0.00786157,-0.0342403,3.1307,-1514.65,-4067.66,405.917
234,0,0.00824173,-0.0341507,3.13088,-1515.33,-4068.1,412.462
235,0,0.00798269,-0.0347714,3.1308,-1516.06,-4068.53,418.977
236,0,0.00794464,-0.0348535,3.13077,-1516.74,-4069.01,425.43
237,0,0.00845238,-0.0338906,3.13063,-1517.43,-4069.5,431.865
238,0,0.00814163,-0.0339907,3.13053,-1518.13,-4069.98,438.183
239,0,0.00842594,-0.0332201,3.13068,-1518.82,-4070.51,444.507
240,0,0.00844729,-0.0328846,3.13067,-1519.48,-4071.04,450.776
241,0,0.00808504,-0.0331738,3.13056,-1520.16,-4071.52,456.901
242,0,0.00931568,-0.0312987,3.13037,-1520.89,-4072.11,463.075
243,0,0.0120973,-0.0278428,3.13069,-1521.65,-4072.68,469.179
244,0,0.0121428,-0.0267452,3.1305,-1522.35,-4073.21,475.187
245,0,0.0119778,-0.0264191,3.13053,-1522.99,-4073.71,481.08
246,0,0.013762,-0.0234137,3.13036,-1523.78,-4074.33,487.039
247,0,0.0158339,-0.019583,3.13046,-1524.53,-4074.87,492.918
248,0,0.0166802,-0.0165059,3.13049,-1525.16,-4075.47,498.698
249,0,0.0165103,-0.0151051,3.1301,-1525.83,-4076.02,504.314
250,0,0.0188524,-0.0111636,3.13007,-1526.62,-4076.6,510.014
251,0,0.021319,-0.00702169,3.12994,-1527.38,-4077.21,515.599
252,0,0.0230653,-0.00433026,3.13004,-1528.04,-4077.73,521.091
253,0,0.0250022,-0.00115068,3.13012,-1528.67,-4078.34,526.544
254,0,0.0259983,-0.000255208,3.1299,-1529.35,-4078.87,531.824
255,0,0.0263907,6.99317e-05,3.1297,-1530.04,-4079.39,537.121
256,0,0.0270409,0.000672363,3.12959,-1530.76,-4079.94,542.354
257,0,0.0280021,0.0018409,3.12951,-1531.39,-4080.47,547.524
258,0,0.029502,0.00298962,3.12942,-1532.04,-4081.02,552.601
259,0,0.0303482,0.00275166,3.12936,-1532.69,-4081.51,557.577
260,0,0.0295587,0.000890907,3.12935,-1533.28,-4081.99,562.48
261,0,0.0285206,-0.00133002,3.12928,-1533.9,-4082.5,567.33
262,0,0.0286078,-0.00206756,3.12942,-1534.49,-4082.97,572.136
263,0,0.0288641,-0.00258064,3.12953,-1535.11,-4083.47,576.88
264,0,0.031178,-0.00090574,3.12904,-1535.8,-4084.02,581.562
265,0,0.0309705,-0.0019832,3.1291,-1536.31,-4084.44,586.108
266,0,0.0309338,-0.00311589,3.12946,-1536.86,-4084.93,590.596
267,0,0.0287881,-0.00188001,3.12957,-1537.22,-4085.53,594.933
268,0,0.0270194,-0.00242347,3.12982,-1537.69,-4085.95,599.262
269,0,0.0260285,-0.00256453,3.12992,-1538.24,-4086.41,603.543
270,0,0.0254252,-0.00255408,3.12995,-1538.79,-4086.89,607.789
271,0,0.025746,-0.00130246,3.12997,-1539.33,-4087.36,611.967
272,0,0.0251536,-0.00144282,3.1298,-1539.88,-4087.8,616.041
273,0,0.0242073,-0.00181029,3.12998,-1540.29,-4088.23,620.071
274,0,0.0225363,-0.0029861,3.13006,-1540.72,-4088.68,624.013
275,0,0.0218278,-0.00279748,3.12988,-1541.27,-4089.14,627.907
276,0,0.0210056,-0.00246452,3.12977,-1541.7,-4089.56,631.704
277,0,0.0209981,-0.00169595,3.12977,-1542.22,-4090,635.484
278,0,0.0199916,-0.00181249,3.13,-1542.66,-4090.41,639.179
279,0,0.0185321,-0.00237524,3.13019,-1543.03,-4090.81,642.773
280,0,0.0178489,-0.0019249,3.12996,-1543.52,-4091.27,646.364
281,0,0.0161507,-0.00254359,3.12997,-1543.9,-4091.63,649.853
282,0,0.0144247,-0.00327274,3.12994,-1544.28,-4092.05,653.265
283,0,0.0134498,-0.00375122,3.12998,-1544.75,-4092.47,656.635
284,0,0.0144527,-0.00145921,3.12988,-1545.28,-4092.91,660.012
285,0,0.0153159,0.000796061,3.12988,-1545.69,-4093.33,663.303
286,0,0.0134384,-7.51001e-05,3.12967,-1546.06,-4093.7,666.467
287,0,0.011321,-0.00129848,3.12962,-1546.4,-4094.05,669.593
288,0,0.0119632,0.000237031,3.12985,-1546.8,-4094.45,672.712
289,0,0.0182912,0.00314669,3.12954,-1547.25,-4095.17,675.236
290,0,0.0236489,0.00695534,3.12934,-1547.7,-4095.6,678.24
291,0,0.0254015,0.0074404,3.12942,-1548.02,-4095.93,681.121
292,0,0.0260926,0.00759168,3.12908,-1548.47,-4096.29,684.007
293,0,0.0273847,0.00919975,3.12896,-1548.87,-4096.65,686.887
294,0,0.0274923,0.00928291,3.12882,-1549.25,-4096.99,689.638
295,0,0.0290158,0.0109722,3.12879,-1549.64,-4097.37,692.397
296,0,0.0283576,0.0100839,3.1287,-1549.99,-4097.64,695.018
297,0,0.0278901,0.00923789,3.12861,-1550.35,-4097.95,697.655
298,0,0.0278483,0.00923833,3.1286,-1550.73,-4098.29,700.275
299,0,0.0279606,0.00873281,3.12854,-1551.13,-4098.58,702.783
300,0,0.030024,0.0108638,3.12842,-1551.6,-4098.94,705.356
301,0,0.0297633,0.0101664,3.12837,-1551.92,-4099.22,707.767
302,0,0.0296947,0.00999333,3.12838,-1552.28,-4099.53,710.202
303,0,0.029343,0.00928389,3.12839,-1552.65,-4099.8,712.582
304,0,0.029324,0.00840822,3.12843,-1553.02,-4100.06,714.89
