Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3198,0,-0.0281245,0.00590152,1.57774,-31.5696,2518.55,65.6357
3199,0,-0.0322813,0.00537076,1.57688,-31.5116,2517.6,61.4982
3200,0,-0.0371165,0.00489679,1.57656,-31.5913,2518.46,67.4007
3201,0,-0.0403089,0.00445497,1.57639,-31.6126,2518.76,69.0933
3202,0,-0.0397069,0.00463608,1.5761,-31.5197,2517.85,61.6479
3203,0,-0.0395614,0.00468694,1.57587,-31.5045,2517.5,61.2242
3204,0,-0.0416273,0.00435278,1.57595,-31.5973,2518.53,67.6635
3205,0,-0.0405905,0.00452091,1.57579,-31.5171,2517.68,61.9137
3206,0,-0.0358453,0.00516521,1.57543,-31.451,2516.51,51.6322
3207,0,-0.0273604,0.0062946,1.57695,-31.2752,2522.42,31.9286
3208,0,-0.0212754,0.00705493,1.57811,-31.1993,2524.46,25.7446
3209,0,-0.0221161,0.00690687,1.57863,-31.2405,2524.16,36.2517
3210,0,-0.0174121,0.00748497,1.57888,-31.262,2523.73,24.8259
3211,0,-0.013879,0.0078619,1.57891,-31.2779,2523.15,21.1986
3212,0,-0.0151367,0.00775862,1.5792,-31.2721,2524.09,29.3467
3213,0,-0.0144267,0.00797914,1.579,-31.215,2522.91,27.1422
3214,0,-0.0131859,0.00808863,1.57937,-31.2229,2524.47,24.749
3215,0,-0.0132749,0.00806412,1.57917,-31.2139,2523.29,26.502
3216,0,-0.0138219,0.00798135,1.57911,-31.2078,2523.24,28.1256
3217,0,-0.015989,0.00762904,1.57912,-31.2337,2523.35,32.2173
3218,0,-0.0154307,0.00777324,1.57935,-31.2104,2524.08,29.6054
3219,0,-0.0146052,0.00782396,1.5793,-31.2136,2523.71,27.7612
3220,0,-0.0121907,0.00806599,1.57921,-31.2579,2523.38,22.1752
3221,0,-0.0131754,0.00787124,1.57909,-31.2293,2523.12,26.9411
3222,0,-0.0119435,0.00801145,1.57884,-31.2445,2522.42,23.8707
3223,0,-0.0124232,0.00804055,1.57929,-31.2176,2524.16,25.8152
3224,0,-0.0125823,0.00806286,1.57906,-31.2208,2523.14,26.126
3225,0,-0.0129037,0.00792783,1.57917,-31.232,2523.53,26.9412
3226,0,-0.0112764,0.00876929,1.57996,-31.091,2526.18,21.0313
3227,0,-0.0145933,0.00809301,1.57963,-31.1859,2524.7,28.7975
3228,0,-0.0151735,0.00787596,1.57958,-31.1911,2524.34,29.9459
3229,0,-0.0117874,0.00811567,1.57938,-31.2801,2523.6,22.1307
3230,0,-0.0128901,0.00796512,1.57932,-31.2603,2523.59,25.0452
3231,0,-0.0138816,0.0078459,1.5793,-31.2462,2523.64,27.9051
3232,0,-0.0135988,0.00774162,1.57902,-31.2261,2522.96,27.5682
3233,0,-0.016208,0.00739994,1.57901,-31.2763,2523.11,34.2696
3234,0,-0.0167066,0.00729644,1.57905,-31.2189,2523.32,33.3122
3235,0,-0.0142802,0.00753185,1.57912,-31.2292,2523.46,29.3269
3236,0,-0.0132665,0.00776327,1.5794,-31.2144,2524.28,26.75
3237,0,-0.0132799,0.00762734,1.57982,-31.2327,2525.3,27.3129
3238,0,-0.014247,0.00751007,1.58022,-31.2327,2526.18,29.2877
3239,0,-0.0141283,0.00776156,1.58008,-31.2473,2525.56,28.394
3240,0,-0.0152212,0.00759883,1.5805,-31.2281,2526.75,30.6504
3241,0,-0.0141086,0.00776845,1.58081,-31.2775,2527.39,27.6716
3242,0,-0.0147879,0.00770364,1.58147,-31.2907,2529.13,29.5698
3243,0,-0.0150916,0.00750253,1.58223,-31.3123,2530.94,30.3488
3244,0,-0.0151235,0.00731126,1.5823,-31.3508,2530.25,30.4294
3245,0,-0.0149483,0.00720191,1.58239,-31.3829,2530.18,30.0459
3246,0,-0.0174624,0.00670881,1.58241,-31.4502,2530.09,36.7428
3247,0,-0.0173363,0.00661637,1.58204,-31.4349,2528.89,34.5399
3248,0,-0.0169109,0.00692008,1.58203,-31.4188,2529.14,32.5374
3249,0,-0.0165141,0.00728152,1.58215,-31.4143,2529.63,31.2181
3250,0,-0.0164729,0.00759766,1.5819,-31.405,2528.98,30.9636
3251,0,-0.0162822,0.00808391,1.58163,-31.4092,2528.45,30.141
3252,0,-0.014322,0.0089963,1.58149,-31.3994,2528.25,24.4359
3253,0,-0.0151048,0.0101566,1.58164,-31.3642,2528.99,25.7405
3254,0,-0.0135271,0.0123802,1.58143,-31.2758,2528.18,17.8544
3255,0,-0.012306,0.014807,1.58138,-31.2532,2528.34,12.9879
3256,0,-0.00766142,0.0180798,1.58134,-31.2903,2528.38,-2.86542
3257,0,-0.00504614,0.0213383,1.58099,-31.1924,2527.13,-7.11946
3258,0,-0.0019305,0.0246326,1.58104,-31.2633,2528.15,-14.8094
3259,0,0.00221552,0.0281571,1.58084,-31.4513,2527.42,-25.3442
3260,0,0.00491354,0.0310544,1.58096,-31.368,2528.54,-28.0622
3261,0,0.0080345,0.033286,1.58109,-31.3932,2529.1,-32.8067
3262,0,0.00865166,0.0350453,1.58141,-31.0463,2530.24,-29.849
3263,0,0.0086449,0.0363365,1.58139,-30.7996,2529.61,-28.075
3264,0,0.0115176,0.0374802,1.58153,-30.8185,2530.62,-35.4161
3265,0,0.0118497,0.0386122,1.58203,-30.3865,2532.55,-32.0686
3266,0,0.012746,0.0395625,1.58245,-30.0586,2533.59,-32.6525
3267,0,0.0148317,0.0407542,1.58314,-29.89,2535.81,-36.8197
3268,0,0.0158018,0.0414788,1.58343,-29.435,2535.83,-34.4959
3269,0,0.016339,0.0423313,1.58363,-28.9168,2536.25,-33.0875
3270,0,0.018243,0.0418367,1.58368,-28.4206,2536.49,-32.1021
3271,0,0.0184159,0.0405985,1.58374,-27.6271,2536.88,-24.6824
3272,0,0.0163245,0.039082,1.58397,-26.7041,2537.84,-14.5024
3273,0,0.0154214,0.0363556,1.58423,-25.7715,2538.89,-5.77913
3274,0,0.0145914,0.0334423,1.58419,-24.7742,2538.87,3.69634
3275,0,0.0121765,0.0300417,1.58408,-23.5805,2538.88,18.6709
3276,0,0.00785038,0.0257023,1.58416,-22.3417,2539.83,38.9581
3277,0,0.00543112,0.0209363,1.58422,-21.3752,2540.58,50.3767
3278,0,0.00305057,0.0153789,1.58437,-20.3804,2541.62,66.0266
3279,0,-0.000427748,0.00908753,1.58459,-19.4676,2542.73,85.9856
3280,0,-0.00306046,0.00311088,1.58468,-18.5218,2543.15,99.8571
3281,0,-0.00477461,-0.00299529,1.58454,-17.7112,2542.89,113.368
3282,0,-0.00609696,-0.00931722,1.58446,-16.97,2543.43,127.88
3283,0,-0.00749555,-0.0152963,1.58408,-16.235,2542.52,142.141
