Objects,,,,,,,
100,,,,,,,
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3703,0,0.00771328,-0.0295904,-1.60814,3012.04,-2508.67,5.66205
3704,0,0.00755196,-0.0295907,-1.60851,3012.06,-2508.71,5.67917
3705,0,0.00758704,-0.0297511,-1.60811,3012.01,-2508.66,5.67561
3706,0,0.00747744,-0.0289361,-1.60869,3012.03,-2508.67,5.67365
3707,0,0.00712994,-0.0299999,-1.60896,3012.03,-2508.7,5.66099
3708,0,0.00731347,-0.0296155,-1.60858,3012.03,-2508.71,5.64345
3709,0,0.00761451,-0.0301717,-1.60841,3012.05,-2508.71,5.66207
3710,0,0.00757201,-0.0289433,-1.60852,3012.02,-2508.69,5.66764
3711,0,0.00747051,-0.0286758,-1.60859,3012.03,-2508.67,5.65976
3712,0,0.00711003,-0.0291812,-1.60864,3012.06,-2508.69,5.65526
3713,0,0.00721179,-0.0293944,-1.60875,3012.07,-2508.71,5.65963
3714,0,0.00763444,-0.0292504,-1.60743,3012.01,-2508.67,5.65031
3715,0,0.00759678,-0.0296954,-1.60714,3011.95,-2508.63,5.66501
3716,0,0.00728833,-0.0286122,-1.60737,3011.91,-2508.61,5.6262
3717,0,0.00754788,-0.0278679,-1.60711,3011.84,-2508.56,5.6296
3718,0,0.00775535,-0.0280241,-1.60723,3011.87,-2508.56,5.65288
3719,0,0.00689468,-0.0323823,-1.60704,3011.96,-2508.68,5.56633
3720,0,0.0068694,-0.0321663,-1.6079,3012.01,-2508.72,5.57855
3721,0,0.00712081,-0.0309476,-1.60833,3012.04,-2508.71,5.60857
3722,0,0.00731026,-0.0305292,-1.6083,3012.06,-2508.72,5.63538
3723,0,0.00729628,-0.030421,-1.60861,3012.08,-2508.72,5.64363
3724,0,0.00725689,-0.0297596,-1.60861,3012.05,-2508.72,5.64821
3725,0,0.00743907,-0.0296469,-1.60844,3012.04,-2508.69,5.64619
3726,0,0.0071951,-0.0298615,-1.60844,3012.05,-2508.7,5.6482
3727,0,0.00747724,-0.0301564,-1.60838,3012.07,-2508.72,5.6665
3728,0,0.00733347,-0.0300928,-1.60824,3012,-2508.66,5.65311
