Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
6095,0,0.0147195,-0.009651,-0.00760166,3009.97,2571.26,31.2492
6096,0,0.014883,-0.00983006,-0.0072376,3009.95,2571.26,31.2428
6097,0,0.0156878,-0.0108147,-0.00707873,3009.97,2571.28,31.2374
6098,0,0.0153947,-0.0100247,-0.00772884,3009.96,2571.28,31.249
6099,0,0.0151676,-0.0101479,-0.00740205,3009.93,2571.27,31.2505
6100,0,0.0156806,-0.0107288,-0.00673899,3009.95,2571.28,31.2291
6101,0,0.0156546,-0.0110549,-0.00697699,3009.94,2571.28,31.2167
6102,0,0.0149386,-0.010186,-0.0068408,3009.94,2571.26,31.2269
6103,0,0.0149898,-0.0101294,-0.00687116,3009.95,2571.26,31.2343
6104,0,0.0144041,-0.00989667,-0.00746352,3009.92,2571.25,31.2477
6105,0,0.0147759,-0.0102051,-0.00731255,3009.91,2571.25,31.2511
6106,0,0.0150828,-0.0104266,-0.00712183,3009.93,2571.25,31.2452
6107,0,0.0150329,-0.0103572,-0.00692517,3009.87,2571.25,31.2382
6108,0,0.011589,-0.00770093,-0.00722982,3009.78,2571.12,31.2595
6109,0,0.012237,-0.0079384,-0.00691434,3009.82,2571.1,31.2644
6110,0,0.0110895,-0.0062065,-0.00656668,3009.79,2571.08,31.2806
6111,0,0.00920102,-0.00498966,-0.00718625,3009.76,2571.08,31.2813
6112,0,0.00885089,-0.00487597,-0.00722885,3009.77,2571.08,31.2848
6113,0,0.00785114,-0.00376146,-0.00695376,3009.75,2571.05,31.2968
6114,0,0.00910652,-0.00495071,-0.00658781,3009.82,2571.09,31.2658
6115,0,0.00385593,-0.00127415,-0.00807916,3009.73,2571.07,31.2185
6116,0,0.00646882,-0.00327637,-0.00773749,3009.78,2571.11,31.2483
6117,0,0.00634271,-0.00290246,-0.00780386,3009.73,2571.08,31.2929
6118,0,0.0065238,-0.00309182,-0.00807549,3009.79,2571.08,31.283
6119,0,0.00638071,-0.002676,-0.00810573,3009.75,2571.07,31.2954
6120,0,0.00688,-0.00309917,-0.00785599,3009.76,2571.08,31.2854
6121,0,0.00267867,0.000177151,-0.00816,3009.71,2570.85,31.2993
6122,0,0.00392713,-0.00142538,-0.00808746,3009.77,2570.96,31.2872
6123,0,0.00339941,-0.00101463,-0.00838709,3009.77,2571,31.2468
6124,0,0.0091051,-0.00532222,-0.00758033,3009.82,2571.14,31.2725
6125,0,0.00976037,-0.00530506,-0.00757846,3009.81,2571.14,31.3415
6126,0,0.011602,-0.00690446,-0.00751686,3009.84,2571.18,31.3298
6127,0,0.0172118,-0.0109606,-0.00685147,3009.98,2571.35,31.3274
6128,0,0.0148565,-0.0106879,-0.00680013,3009.92,2571.21,31.2356
6129,0,0.0108923,-0.00679376,-0.00752298,3009.81,2571.14,31.2851
6130,0,0.00755518,-0.00435347,-0.00785471,3009.76,2571.08,31.2943
6131,0,0.00693329,-0.00336147,-0.00738997,3009.77,2571.04,31.3046
6132,0,0.0059899,-0.0026276,-0.00748986,3009.8,2571.09,31.2916
6133,0,0.00572356,-0.00241779,-0.00771687,3009.8,2571.06,31.3054
6134,0,0.0104576,-0.00567176,-0.00777393,3009.88,2571.2,31.3445
6135,0,0.0129254,-0.00740248,-0.00739063,3009.91,2571.25,31.4105
6136,0,0.0105875,-0.0058874,-0.00749742,3009.91,2571.13,31.4155
6137,0,0.00878018,-0.00372917,-0.00687949,3009.84,2571.05,31.4209
6138,0,0.00835392,-0.00305663,-0.00574706,3009.8,2571.02,31.4367
6139,0,0.00918871,-0.00320347,-0.00500531,3009.84,2571.03,31.4484
6140,0,0.00691212,-0.0015404,-0.00522619,3009.79,2571.01,31.433
6141,0,0.00856557,-0.00281548,-0.00512118,3009.91,2571.05,31.448
6142,0,0.00758353,-0.00166044,-0.00487805,3009.91,2571.06,31.4511
6143,0,0.0109444,-0.00527486,-0.00539072,3010.09,2571.13,31.4007
6144,0,0.00972879,-0.00406318,-0.00471181,3010.04,2571.06,31.4408
6145,0,0.0084515,-0.00246011,-0.00456473,3010,2571,31.5034
6146,0,0.00700837,-0.00119798,-0.00445475,3010.01,2570.95,31.5197
6147,0,0.00630748,-0.000385756,-0.00415432,3010.08,2570.95,31.5283
6148,0,0.0057271,9.04775e-05,-0.00461004,3010.14,2570.96,31.5405
6149,0,0.00558128,0.000670424,-0.00489287,3010.27,2570.99,31.5711
6150,0,0.00630681,0.00010773,-0.00435676,3010.33,2571,31.5663
6151,0,0.00724542,0.000533451,-0.00471517,3010.43,2571.06,31.6307
6152,0,0.00805714,0.000886635,-0.0035946,3010.52,2571.09,31.6855
6153,0,0.00960017,0.00101129,-0.00333773,3010.67,2571.11,31.7472
6154,0,0.0118718,0.000501279,-0.00313653,3010.84,2571.16,31.8269
6155,0,0.0169789,-0.00253143,-0.00349202,3011.16,2571.24,31.8721
6156,0,0.0161197,-0.000802877,-0.00323176,3011.27,2571.15,31.9425
6157,0,0.0175911,-0.000821312,-0.00292881,3011.42,2571.09,32.0146
6158,0,0.020234,-0.000249858,-0.00258919,3011.56,2571.09,32.186
6159,0,0.0190932,0.00360221,-0.00310392,3011.87,2570.93,32.2987
6160,0,0.0227729,0.00331171,-0.00361169,3012.23,2570.91,32.6117
6161,0,0.028424,0.00317404,-0.00345794,3012.51,2570.93,33.0228
6162,0,0.0275509,0.00890363,-0.00346721,3012.55,2570.67,33.5634
6163,0,0.0330198,0.0116952,0.00108578,3012.83,2570.68,34.1082
6164,0,0.0348051,0.0115813,-0.000699689,3013.11,2570.43,34.8983
6165,0,0.0424458,0.00671994,-0.000922133,3013.6,2570.38,35.795
6166,0,0.0453475,0.00758713,-0.000985915,3013.79,2570.07,36.9707
6167,0,0.0483739,0.00763903,-0.0010798,3014.4,2569.71,38.1061
6168,0,0.0497415,0.00752833,0.00024891,3014.68,2569.31,39.37
6169,0,0.0514417,0.00859025,0.000672374,3015.04,2568.84,41.0148
6170,0,0.0493,0.00947658,-9.96935e-05,3015.35,2568.29,42.5962
6171,0,0.0539837,0.00801591,0.000462425,3015.82,2568.09,44.6279
6172,0,0.0562219,0.00523015,0.00029536,3016.47,2567.65,46.5534
6173,0,0.0544492,0.00607849,0.00116291,3017,2566.94,48.8839
6174,0,0.0532826,0.00634507,0.00127296,3017.57,2566.27,51.5915
6175,0,0.0460968,0.0106968,0.00107204,3017.73,2565.46,54.555
6176,0,0.0448767,0.00681594,0.000977751,3018.58,2564.75,57.4797
6177,0,0.0455294,0.00113124,0.00155482,3019.38,2563.87,60.9981
6178,0,0.0393923,0.00269377,0.00206061,3019.59,2562.8,65.029
6179,0,0.0348696,0.00130575,0.00227347,3020.21,2561.89,69.4009
6180,0,0.0301804,-2.60201e-05,0.00236644,3020.93,2560.84,73.9048
6181,0,0.0241851,-0.00226882,0.00181761,3021.72,2559.94,78.4669
6182,0,0.0189161,-0.00618955,0.00369331,3022.13,2558.81,83.6164
6183,0,0.0181141,-0.0116514,0.00444626,3023.18,2558.03,89.0492
6184,0,0.0107461,-0.0140251,0.00397603,3023.63,2556.81,94.5926
6185,0,0.00356834,-0.0129248,0.00255119,3023.96,2555.95,101.035
6186,0,0.00147193,-0.0169634,0.00635045,3025.28,2555.21,106.284
6187,0,-0.00569254,-0.0187838,0.00551347,3025.37,2553.76,112.704
6188,0,-0.00810331,-0.0246213,0.00673128,3026.75,2552.85,119.024
6189,0,-0.0116809,-0.0301237,0.0046596,3027.21,2552.2,125.575
6190,0,-0.0155036,-0.0317364,0.00241543,3027.52,2551.46,132.442
6191,0,-0.0182115,-0.0338435,0.00320506,3028.28,2550.61,139.132
6192,0,-0.0215722,-0.03463,0.00301923,3028.65,2549.71,146.29
6193,0,-0.0189263,-0.0380272,0.00322155,3029.07,2549.14,153.648
6194,0,-0.0217292,-0.0370804,0.00304669,3029.64,2548.31,160.664
6195,0,-0.0218211,-0.0387487,0.00274669,3030.32,2547.89,167.89
6196,0,-0.0221348,-0.0386428,0.0035922,3030.38,2547.4,175.501
6197,0,-0.0196987,-0.0419864,0.00420101,3031.19,2547.1,182.995
6198,0,-0.0184154,-0.0447047,0.00422384,3031.48,2546.49,190.642
6199,0,-0.0194065,-0.0447932,0.00231215,3031.87,2546.16,198.13
6200,0,-0.0188366,-0.0418815,0.00375251,3031.76,2545.48,206.29
6201,0,-0.0219958,-0.0373612,0.00311508,3032.05,2544.86,214.138
6202,0,-0.0199765,-0.0369034,0.00254221,3032.53,2544.77,222.061
6203,0,-0.0196638,-0.0346406,0.00168032,3032.77,2544.52,230.032
6204,0,-0.0198588,-0.0310717,0.0027848,3032.65,2544.23,238.072
6205,0,-0.0181293,-0.0292763,0.00183778,3033.1,2544.21,246
6206,0,-0.0119345,-0.0311398,0.00206908,3033.45,2544.37,254.113
6207,0,-0.0134301,-0.0307961,0.00245546,3033.36,2543.85,262.365
6208,0,-0.0127182,-0.0281202,0.00205441,3033.56,2543.71,270.361
6209,0,-0.0113982,-0.0241305,0.00232091,3033.12,2543.67,278.906
6210,0,-0.00812701,-0.0249596,0.00233859,3033.57,2543.46,286.836
6211,0,-0.00731653,-0.0228527,0.0023218,3033.42,2543.28,295.229
6212,0,-0.00804115,-0.0200841,0.00359218,3033.3,2543.07,303.582
6213,0,-0.00330204,-0.0183643,0.00873766,3033.78,2543.44,311.665
6214,0,-0.00150596,-0.0214041,0.00682985,3033.98,2543.19,319.89
6215,0,0.00045082,-0.0241005,0.00564612,3033.78,2543.23,328.548
6216,0,-0.00103839,-0.022295,0.00337028,3033.99,2543.17,336.747
6217,0,-0.0028773,-0.0187382,0.00281547,3033.96,2543.07,345.164
6218,0,-0.00434929,-0.016302,0.00228216,3033.97,2543.12,353.346
6219,0,-0.00888949,-0.0091369,0.00116635,3033.39,2543.04,361.996
6220,0,-0.0101199,-0.00810009,0.000231283,3034.11,2543.09,369.796
6221,0,-0.00761743,-0.0113887,0.000777148,3034.33,2543.35,377.98
6222,0,0.00028812,-0.0184184,0.00108825,3034.76,2543.87,386.23
6223,0,-0.000192325,-0.0169356,0.000738169,3034.14,2543.76,394.767
6224,0,-0.000697501,-0.0176822,0.000467064,3034.72,2543.73,402.568
6225,0,-0.00335936,-0.014772,-4.00363e-05,3034.53,2543.74,410.987
6226,0,-0.00450309,-0.0134133,-0.000304138,3034.56,2543.88,419.06
6227,0,-0.00661317,-0.011265,0.000365425,3034.43,2543.97,427.105
6228,0,-0.00852465,-0.00993081,0.00130715,3034.43,2543.99,435.116
6229,0,-0.00333363,-0.013282,0.00235186,3034.72,2544.58,443.102
6230,0,-0.000962865,-0.0158043,0.00161889,3034.92,2544.78,450.933
6231,0,0.00106411,-0.0172603,0.000925492,3034.94,2544.99,458.878
6232,0,-0.000449867,-0.0161166,0.000371993,3034.92,2545.12,466.756
6233,0,-0.00203375,-0.0142187,0.000521837,3035.16,2545.11,474.504
6234,0,0.00329495,-0.0177242,0.00158831,3035.41,2545.79,482.194
6235,0,0.00449715,-0.0191354,0.00194332,3035.43,2545.94,489.755
6236,0,0.0012296,-0.0162228,0.00131463,3035.32,2546.04,497.415
6237,0,0.00512827,-0.0190564,0.000670562,3035.62,2546.54,505.045
