Objects
100
,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
6032,0,0.00976042,0.0326677,-0.0460908,2928.29,2617.89,42.1221
6033,0,0.0116284,0.0326044,-0.0464226,2928.29,2617.92,42.2649
6034,0,0.0113072,0.0324372,-0.0459109,2928.33,2617.95,42.2431
6035,0,0.0120961,0.0323395,-0.0459354,2928.33,2617.98,42.267
6036,0,0.00943773,0.0326281,-0.0455955,2928.22,2617.92,42.1481
6037,0,0.00916954,0.0318916,-0.0464546,2928.32,2617.92,42.0858
6038,0,0.00930944,0.0326438,-0.0462306,2928.32,2617.93,42.0667
6039,0,0.0098776,0.0322234,-0.0457034,2928.27,2617.95,42.1427
6040,0,0.00928907,0.0320003,-0.0460177,2928.3,2617.91,42.1094
6041,0,0.00949608,0.0324052,-0.0461762,2928.33,2617.89,42.0872
6042,0,0.0111073,0.0327643,-0.0464454,2928.32,2617.96,42.2445
6043,0,0.0095208,0.0321185,-0.0457706,2928.27,2617.96,42.1374
6044,0,0.00964569,0.0321393,-0.0457885,2928.32,2617.94,42.1083
6045,0,0.0100754,0.0311668,-0.0462242,2928.38,2617.97,42.0945
6046,0,0.0114154,0.0326275,-0.0458495,2928.32,2617.92,42.2497
6047,0,0.0097835,0.0315895,-0.0455392,2928.33,2617.94,42.1204
6048,0,0.0110156,0.0325669,-0.0466792,2928.34,2617.95,42.2732
6049,0,0.0115655,0.0329707,-0.0463224,2928.35,2617.95,42.2147
6050,0,0.00958396,0.0324574,-0.0460165,2928.3,2617.9,42.1224
6051,0,0.00963867,0.0322281,-0.0464922,2928.38,2617.94,42.1086
6052,0,0.0117273,0.0321749,-0.0459411,2928.34,2617.97,42.2538
6053,0,0.0114324,0.0325415,-0.0460235,2928.38,2617.94,42.2059
6054,0,0.00964339,0.0322312,-0.0457827,2928.3,2617.93,42.1487
