Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.0177581,-0.0317012,3.11132,-3113.1,6266.52,755.178,,,,,,
2,0,0.0185705,-0.0322027,3.11104,-3113.05,6266.56,755.24,,,,,,
3,0,0.0182634,-0.0320781,3.11111,-3112.93,6266.53,755.236,,,,,,
4,0,0.0181885,-0.0316535,3.11125,-3113.04,6266.51,755.233,,,,,,
5,0,0.018232,-0.0320475,3.11118,-3112.99,6266.53,755.19,,,,,,
6,0,0.0182491,-0.0314069,3.11137,-3113.03,6266.49,755.194,,,,,,
7,0,0.0184932,-0.0318967,3.11116,-3112.95,6266.53,755.232,,,,,,
8,0,0.0177027,-0.0315844,3.11106,-3112.94,6266.53,755.222,,,,,,
9,0,0.0179813,-0.0319384,3.11124,-3113,6266.53,755.221,,,,,,
10,0,0.0184942,-0.0318048,3.11108,-3113.04,6266.53,755.212,,,,,,
11,0,0.0177974,-0.0318721,3.11112,-3113,6266.53,755.189,,,,,,
12,0,0.0183188,-0.0319769,3.11121,-3112.94,6266.53,755.25,,,,,,
13,0,0.0174208,-0.0319856,3.11115,-3112.97,6266.55,755.175,,,,,,
14,0,0.0180735,-0.0320854,3.11104,-3113.06,6266.57,755.172,,,,,,
15,0,0.0183859,-0.0317725,3.11138,-3112.97,6266.51,755.244,,,,,,
16,0,0.0183908,-0.0321601,3.11113,-3112.97,6266.54,755.252,,,,,,
17,0,0.0168307,-0.031461,3.11137,-3112.93,6266.5,755.269,,,,,,
18,0,0.0183616,-0.0324144,3.11104,-3113.07,6266.55,755.2,,,,,,
19,0,0.018177,-0.0325401,3.11098,-3112.99,6266.58,755.219,,,,,,
20,0,0.0182705,-0.032194,3.11088,-3112.97,6266.54,755.258,,,,,,
21,0,0.0180068,-0.032178,3.11124,-3113.07,6266.55,755.18,,,,,,
22,0,0.01863,-0.0318837,3.11108,-3113.02,6266.54,755.259,,,,,,
23,0,0.0179577,-0.0317492,3.11132,-3113.04,6266.52,755.191,,,,,,
24,0,0.0183469,-0.0319059,3.11108,-3113.03,6266.54,755.217,,,,,,
25,0,0.0178113,-0.0317177,3.11124,-3113.05,6266.52,755.185,,,,,,
26,0,0.0182172,-0.0324104,3.11103,-3113,6266.55,755.266,,,,,,
27,0,0.018334,-0.0314516,3.11137,-3113.13,6266.5,755.163,,,,,,
28,0,0.0180416,-0.0321379,3.11121,-3113.05,6266.53,755.197,,,,,,
29,0,0.0182234,-0.032187,3.11109,-3113.05,6266.54,755.215,,,,,,
30,0,0.0180988,-0.0321783,3.11095,-3113.07,6266.57,755.162,,,,,,
31,0,0.0183439,-0.0319558,3.111,-3112.93,6266.55,755.23,,,,,,
32,0,0.0179297,-0.0320172,3.11115,-3113.06,6266.54,755.177,,,,,,
33,0,0.0187748,-0.0321402,3.11116,-3113.07,6266.52,755.249,,,,,,
34,0,0.0177516,-0.0322941,3.11107,-3112.89,6266.53,755.212,,,,,,
35,0,0.0177696,-0.0315847,3.11131,-3112.95,6266.49,755.177,,,,,,
36,0,0.0181896,-0.0315147,3.11124,-3112.93,6266.5,755.227,,,,,,
37,0,0.0177877,-0.031715,3.11128,-3112.92,6266.48,755.187,,,,,,
38,0,0.0181373,-0.0315319,3.11133,-3112.9,6266.5,755.199,,,,,,
39,0,0.0182153,-0.0320594,3.11126,-3112.92,6266.52,755.213,,,,,,
40,0,0.0184595,-0.0322685,3.11091,-3113.01,6266.57,755.224,,,,,,
41,0,0.0181554,-0.0318166,3.11116,-3112.98,6266.5,755.249,,,,,,
42,0,0.0181696,-0.0320791,3.11112,-3112.88,6266.55,755.27,,,,,,
43,0,0.017992,-0.0318281,3.11134,-3113.1,6266.53,755.202,,,,,,
44,0,0.017755,-0.0319154,3.1112,-3112.91,6266.51,755.204,,,,,,
45,0,0.018242,-0.0320609,3.11118,-3113.02,6266.55,755.243,,,,,,
46,0,0.0182353,-0.0324533,3.11118,-3113.1,6266.54,755.204,,,,,,
47,0,0.0179039,-0.0316732,3.11119,-3112.95,6266.5,755.208,,,,,,
48,0,0.0179278,-0.0318206,3.11114,-3113.03,6266.53,755.187,,,,,,
49,0,0.0183818,-0.0319714,3.11111,-3113.04,6266.53,755.23,,,,,,
50,0,0.0183104,-0.0318484,3.11134,-3113.04,6266.51,755.208,,,,,,
51,0,0.0183351,-0.0316978,3.11127,-3113.06,6266.51,755.204,,,,,,
52,0,0.0178036,-0.0317743,3.11112,-3112.81,6266.5,755.245,,,,,,
53,0,0.0182765,-0.0319014,3.11133,-3113.04,6266.51,755.262,,,,,,
54,0,0.0183853,-0.0316119,3.11117,-3113.09,6266.52,755.201,,,,,,
55,0,0.0182769,-0.0322676,3.11105,-3112.99,6266.55,755.221,,,,,,
