Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5837,0,0.0186493,-0.0327984,3.11083,-3112.96,6266.53,755.241,-0.0323339,0.0366728,1.53116,-1897.12,2504.72,19.8044
5838,0,0.0179697,-0.0312973,3.1114,-3113.03,6266.4,755.187,-0.0325224,0.0365748,1.53117,-1897.13,2504.72,19.8033
5839,0,0.0179271,-0.0317367,3.11112,-3113,6266.46,755.184,-0.0327143,0.0367267,1.53112,-1897.13,2504.72,19.7986
5840,0,0.0184426,-0.0319914,3.11105,-3113.02,6266.47,755.193,-0.0323833,0.036772,1.53115,-1897.13,2504.73,19.8112
5841,0,0.0184015,-0.0319301,3.11104,-3112.91,6266.47,755.221,-0.0323304,0.0365778,1.53115,-1897.12,2504.72,19.8092
5842,0,0.018105,-0.0318016,3.11115,-3112.98,6266.46,755.191,-0.0323834,0.0366602,1.53113,-1897.13,2504.72,19.7934
5843,0,0.0180276,-0.0318827,3.11122,-3112.93,6266.45,755.237,-0.0326173,0.0367934,1.53108,-1897.12,2504.71,19.8053
5844,0,0.0180068,-0.0317945,3.11123,-3112.99,6266.44,755.204,-0.032446,0.0366752,1.53117,-1897.13,2504.72,19.8052
5845,0,0.018255,-0.0322508,3.11119,-3112.94,6266.45,755.213,-0.0323814,0.0366665,1.53112,-1897.13,2504.73,19.7999
5846,0,0.0187697,-0.0319918,3.11126,-3113.08,6266.46,755.284,-0.0323874,0.0368555,1.53111,-1897.12,2504.72,19.7961
5847,0,0.018433,-0.0318028,3.11117,-3113.07,6266.47,755.189,-0.0323737,0.036722,1.53114,-1897.13,2504.73,19.8169
5848,0,0.0184091,-0.0319713,3.11114,-3113.1,6266.48,755.172,-0.0324544,0.0367182,1.53109,-1897.14,2504.72,19.8053
5849,0,0.0179206,-0.0316169,3.11116,-3112.93,6266.44,755.174,-0.0324976,0.0366888,1.53122,-1897.13,2504.73,19.8013
5850,0,0.0181796,-0.0324561,3.11114,-3112.93,6266.49,755.229,-0.0325438,0.0368311,1.53107,-1897.13,2504.73,19.8102
5851,0,0.0181874,-0.0317697,3.11117,-3113.07,6266.46,755.192,-0.0324867,0.0366463,1.53109,-1897.16,2504.72,19.8518
5852,0,0.0181622,-0.0311292,3.11137,-3113.01,6266.4,755.211,-0.0322233,0.03648,1.53108,-1897.14,2504.75,19.8807
5853,0,0.018093,-0.0318574,3.11134,-3113,6266.44,755.206,-0.0339413,0.0364529,1.53088,-1896.87,2504.56,19.8586
5854,0,0.017834,-0.0313892,3.11132,-3112.91,6266.43,755.226,-0.0324503,0.0366925,1.53113,-1897.17,2504.73,19.8529
5855,0,0.0182036,-0.0320368,3.11126,-3113.08,6266.45,755.186,-0.0322752,0.0367413,1.53116,-1897.2,2504.72,19.8867
