Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5902,0,0.00726102,-0.0125636,0.013402,-3133.01,6311.2,756.266,-0.0584995,0.0206954,3.07096,-1835.93,-2447.86,14.9326
5903,0,0.00734141,-0.0114278,0.0126287,-3133.55,6311.33,756.191,-0.0589306,0.0207336,3.0708,-1835.9,-2447.82,14.9587
5904,0,0.00710864,-0.00959449,0.00540603,-3134.01,6311.57,756.12,-0.0586205,0.0208311,3.07086,-1835.9,-2447.82,14.9537
5905,0,0.00724469,-0.0103479,0.00518797,-3133.89,6311.59,756.173,-0.0588325,0.0202784,3.07092,-1835.9,-2447.77,14.9221
5906,0,0.0069763,-0.00989838,0.00521694,-3134.11,6311.58,756.031,-0.0582513,0.0207147,3.07104,-1835.96,-2447.79,14.9754
5907,0,0.00717199,-0.0105984,0.00573736,-3133.92,6311.56,756.096,-0.0589721,0.0208392,3.07094,-1835.93,-2447.79,14.9499
5908,0,0.0073048,-0.0129892,0.0131398,-3132.98,6311.19,756.284,-0.0587673,0.0204019,3.07107,-1835.96,-2447.74,14.9407
5909,0,0.00784495,-0.0147175,0.0129792,-3132.98,6311.3,756.162,-0.0586407,0.0203955,3.07098,-1835.92,-2447.79,14.9929
5910,0,0.00762656,-0.0137619,0.013133,-3133.08,6311.27,756.189,-0.0583676,0.020502,3.07113,-1835.94,-2447.77,14.969
5911,0,0.0064022,-0.00963437,0.0110719,-3134.24,6311.32,756.093,-0.058351,0.0209069,3.07097,-1835.94,-2447.81,15.0146
5912,0,0.00746857,-0.0124968,0.0130664,-3133.04,6311.23,756.304,-0.0583729,0.0207318,3.07092,-1835.98,-2447.78,15.0373
5913,0,0.00722043,-0.0128684,0.013071,-3133.13,6311.22,756.21,-0.0583412,0.0207536,3.07126,-1835.96,-2447.74,15.0236
5914,0,0.00722733,-0.0127641,0.0133776,-3132.99,6311.17,756.318,-0.0582738,0.0209259,3.07123,-1835.94,-2447.77,15.0241
5915,0,0.00752362,-0.0129303,0.0133898,-3132.98,6311.22,756.335,-0.0580129,0.0207832,3.07116,-1835.96,-2447.75,15.0426
5916,0,0.00711787,-0.0122795,0.0118051,-3133.57,6311.29,756.114,-0.0585077,0.0209533,3.07105,-1835.95,-2447.76,15.0859
5917,0,0.00695888,-0.0105026,0.00551705,-3133.81,6311.49,756.138,-0.0583915,0.0210348,3.0713,-1835.98,-2447.71,15.0853
5918,0,0.00746119,-0.00877668,0.005753,-3134.35,6311.65,756.064,-0.0587633,0.0210154,3.07135,-1835.96,-2447.7,15.0983
5919,0,0.00726348,-0.0127624,0.013069,-3133.06,6311.19,756.294,-0.0586665,0.02074,3.07115,-1836.02,-2447.68,15.0875
5920,0,0.00682839,-0.00859064,0.00548772,-3134.45,6311.6,756.045,-0.0586287,0.0210332,3.07103,-1835.97,-2447.72,15.1416
5921,0,0.0070494,-0.00860136,0.00520007,-3134.55,6311.63,756.03,-0.0579847,0.0208837,3.07111,-1836,-2447.71,15.1701
5922,0,0.00702307,-0.0100111,0.00515482,-3133.99,6311.54,756.055,-0.0580439,0.0213755,3.07119,-1835.99,-2447.65,15.1679
5923,0,0.00749883,-0.012863,0.0127683,-3132.94,6311.23,756.286,-0.0578827,0.0219128,3.07129,-1835.98,-2447.7,15.2419
5924,0,0.0070355,-0.0119103,0.0125576,-3133.22,6311.23,756.32,-0.057895,0.0221198,3.0714,-1835.95,-2447.59,15.276
5925,0,0.00728305,-0.0131212,0.0126033,-3133.04,6311.24,756.253,-0.0575502,0.0227972,3.07102,-1835.94,-2447.52,15.2911
5926,0,0.007261,-0.00994868,0.00541377,-3133.97,6311.56,756.139,-0.0573982,0.0228039,3.07082,-1835.96,-2447.5,15.3264
5927,0,0.00697231,-0.00851178,0.00547203,-3134.35,6311.59,756.11,-0.0573288,0.023061,3.07075,-1835.94,-2447.47,15.3824
5928,0,0.00716018,-0.00977124,0.00565758,-3133.96,6311.53,756.17,-0.0574608,0.0235579,3.07079,-1835.95,-2447.49,15.429
5929,0,0.00751109,-0.0123323,0.0132537,-3133.05,6311.23,756.319,-0.058138,0.0241575,3.07074,-1836,-2447.44,15.4646
5930,0,0.00747717,-0.0121605,0.0123502,-3133.54,6311.33,756.161,-0.0578856,0.0248323,3.07094,-1835.99,-2447.36,15.5554
5931,0,0.00637823,-0.00869814,0.00457747,-3134.47,6311.58,756.034,-0.0571995,0.0258549,3.07088,-1835.97,-2447.31,15.6047
5932,0,0.0073507,-0.0131348,0.0128502,-3133.07,6311.23,756.188,-0.054995,0.0289751,3.07079,-1835.96,-2447.24,15.7294
5933,0,0.00739918,-0.0137142,0.0133601,-3132.88,6311.21,756.286,-0.0538056,0.0322251,3.07024,-1835.95,-2447.2,15.8798
5934,0,0.00729322,-0.0126215,0.0130356,-3133.13,6311.22,756.291,-0.0531675,0.033789,3.06983,-1835.92,-2447.13,16.0183
5935,0,0.00754406,-0.0127633,0.0135237,-3132.95,6311.22,756.343,-0.0505132,0.0367858,3.06955,-1835.88,-2447.08,16.2466
5936,0,0.00736068,-0.0129553,0.0129934,-3132.96,6311.2,756.326,-0.0466163,0.0398099,3.06947,-1835.85,-2446.99,16.5453
5937,0,0.00713677,-0.00899082,0.00653243,-3134.41,6311.57,756.024,-0.0413391,0.0438053,3.06936,-1835.73,-2446.93,16.9275
5938,0,0.00738071,-0.0135246,0.0131125,-3133.05,6311.23,756.226,-0.03475,0.0483041,3.06941,-1835.65,-2446.77,17.3743
5939,0,0.00748589,-0.012137,0.0130555,-3133.01,6311.22,756.318,-0.0282004,0.0520976,3.06915,-1835.55,-2446.68,17.9438
5940,0,0.00736901,-0.0122298,0.0125129,-3133.05,6311.24,756.315,-0.02361,0.0560201,3.06904,-1835.43,-2446.55,18.6601
5941,0,0.00759015,-0.0120993,0.0129412,-3133.4,6311.31,756.243,-0.0193555,0.058694,3.06848,-1835.34,-2446.41,19.4369
5942,0,0.00746147,-0.0134052,0.0126737,-3133.08,6311.25,756.231,-0.0169715,0.0614874,3.06858,-1835.17,-2446.28,20.3757
5943,0,0.00759941,-0.0126642,0.0130874,-3133.07,6311.25,756.279,-0.0157334,0.0635297,3.06841,-1834.75,-2445.87,21.6124
5944,0,0.00735452,-0.0132572,0.0132432,-3132.99,6311.23,756.227,-0.0119269,0.0657553,3.06795,-1834.85,-2445.91,22.6643
5945,0,0.00701308,-0.0119243,0.0119426,-3133.53,6311.27,756.125,-0.0106553,0.0674104,3.06779,-1834.57,-2445.72,24.0003
5946,0,0.00767384,-0.0130702,0.0129959,-3133.03,6311.24,756.265,-0.00957516,0.0692103,3.06761,-1834.34,-2445.5,25.574
5947,0,0.0076803,-0.0136439,0.0136588,-3132.91,6311.25,756.282,-0.00771681,0.0709128,3.0672,-1834.03,-2445.21,27.2114
5948,0,0.00712668,-0.0131456,0.0133513,-3133.01,6311.23,756.253,-0.00659353,0.0725366,3.06689,-1833.66,-2444.88,29.0709
5949,0,0.00763727,-0.0134719,0.0132304,-3133.04,6311.26,756.252,-0.00815628,0.0715117,3.06628,-1833.37,-2444.61,31.066
5950,0,0.00675626,-0.00968126,0.00536994,-3134.08,6311.52,756.094,-0.00836536,0.0716361,3.06594,-1832.98,-2444.28,33.4051
5951,0,0.00766189,-0.0126666,0.0129373,-3133.03,6311.26,756.251,-0.0116033,0.068576,3.06576,-1832.48,-2443.9,35.9352
5952,0,0.00743145,-0.0123616,0.01288,-3133.11,6311.23,756.288,-0.0159458,0.0648255,3.0655,-1832.02,-2443.49,38.8286
5953,0,0.00718061,-0.0101351,0.00605233,-3134.01,6311.55,756.095,-0.0185749,0.0603477,3.06518,-1831.53,-2443.08,42.0616
5954,0,0.00701309,-0.008722,0.00642155,-3134.36,6311.55,756.098,-0.0238028,0.0547646,3.06469,-1831.03,-2442.69,45.5834
5955,0,0.00756788,-0.0138234,0.0142057,-3132.84,6311.21,756.304,-0.0295947,0.0493323,3.06465,-1830.46,-2442.23,49.4149
5956,0,0.00762624,-0.0131503,0.0127478,-3133.2,6311.29,756.218,-0.0337551,0.0451623,3.0648,-1829.87,-2441.77,53.6185
5957,0,0.00709811,-0.0127238,0.0130563,-3133.02,6311.2,756.321,-0.0398459,0.0392806,3.06482,-1829.24,-2441.27,58.0584
5958,0,0.00748575,-0.0131822,0.0129915,-3133.06,6311.25,756.232,-0.0456697,0.0337587,3.0649,-1828.57,-2440.84,62.8606
5959,0,0.00677422,-0.00930593,0.00568654,-3134.07,6311.52,756.163,-0.0504763,0.0298938,3.06479,-1827.93,-2440.35,68.0219
5960,0,0.00706898,-0.0101069,0.00543111,-3133.88,6311.53,756.167,-0.0575062,0.0238468,3.06494,-1827.27,-2439.89,73.3559
5961,0,0.00763214,-0.0132558,0.0135182,-3132.97,6311.24,756.282,-0.0641534,0.0189514,3.06459,-1826.63,-2439.38,79.0184
5962,0,0.00724431,-0.0096659,0.00516285,-3133.98,6311.58,756.108,-0.0692947,0.0155879,3.06472,-1826.01,-2439.03,84.9007
5963,0,0.00704663,-0.00861345,0.00585392,-3134.42,6311.6,756.091,-0.0763725,0.0123214,3.06444,-1825.34,-2438.52,90.9987
5964,0,0.00694884,-0.0102513,0.00596935,-3133.72,6311.49,756.203,-0.0818024,0.0091992,3.06482,-1824.74,-2438.12,97.2621
5965,0,0.00715779,-0.012236,0.0129541,-3133.15,6311.22,756.299,-0.0868458,0.006205,3.06471,-1824.15,-2437.7,103.755
5966,0,0.0070936,-0.0120274,0.0128083,-3133.17,6311.18,756.327,-0.0924829,0.00457411,3.06465,-1823.59,-2437.36,110.403
5967,0,0.00728508,-0.0134866,0.0135379,-3132.95,6311.21,756.294,-0.097064,0.00293537,3.06454,-1823.07,-2436.98,117.244
5968,0,0.00669461,-0.00772697,0.0057539,-3134.36,6311.53,756.089,-0.0998581,0.00240065,3.06472,-1822.56,-2436.61,124.282
5969,0,0.00646783,-0.00877454,0.00449204,-3134.67,6311.6,755.974,-0.102951,0.00220746,3.06432,-1822.16,-2436.3,131.453
5970,0,0.00734877,-0.0133944,0.0132804,-3133,6311.23,756.231,-0.104934,0.00197397,3.06433,-1821.76,-2435.97,138.764
5971,0,0.00717479,-0.0096676,0.00524547,-3134.06,6311.57,756.122,-0.105555,0.00234791,3.0643,-1821.42,-2435.67,146.18
5972,0,0.0074272,-0.0114157,0.012542,-3133.5,6311.3,756.195,-0.106584,0.00284429,3.06464,-1821.09,-2435.4,153.741
5973,0,0.00730898,-0.0123194,0.0129598,-3133.12,6311.23,756.291,-0.106883,0.00335425,3.06471,-1820.85,-2435.13,161.327
5974,0,0.00746632,-0.0136714,0.0132872,-3132.98,6311.25,756.248,-0.105732,0.00402642,3.0647,-1820.65,-2434.91,169.051
5975,0,0.00749816,-0.0118274,0.0130694,-3133.36,6311.28,756.272,-0.105479,0.00359064,3.06464,-1820.51,-2434.64,176.786
5976,0,0.0067792,-0.0100336,0.00688032,-3133.9,6311.47,756.16,-0.103871,0.00376129,3.06461,-1820.36,-2434.45,184.616
5977,0,0.00689333,-0.00964102,0.0062258,-3134.02,6311.51,756.13,-0.100228,-0.00622054,3.06327,-1820.36,-2434.34,192.039
5978,0,0.00695688,-0.0124481,0.0128203,-3133.51,6311.27,756.089,-0.0986393,-0.00609156,3.06318,-1820.35,-2434.18,200.01
5979,0,0.00724983,-0.00999826,0.00559742,-3134.08,6311.6,756.092,-0.0972359,-0.00645526,3.06369,-1820.33,-2434.01,208.01
5980,0,0.00698975,-0.00999535,0.00549433,-3133.88,6311.51,756.121,-0.093883,-0.00613868,3.06345,-1820.36,-2433.83,216.048
5981,0,0.00717848,-0.0102464,0.00497147,-3133.99,6311.58,756.069,-0.0925414,-0.00709723,3.06375,-1820.48,-2433.7,224.146
5982,0,0.00724697,-0.0119663,0.0126676,-3132.98,6311.23,756.364,-0.0916985,-0.00776586,3.06373,-1820.55,-2433.59,232.268
5983,0,0.00714866,-0.00989383,0.0055388,-3134.02,6311.55,756.104,-0.0894969,-0.00787474,3.06375,-1820.74,-2433.49,240.439
5984,0,0.00750757,-0.0132044,0.0131069,-3132.97,6311.21,756.234,-0.0871645,-0.00866686,3.06402,-1820.94,-2433.39,248.629
5985,0,0.00692723,-0.011272,0.0121576,-3133.68,6311.3,756.122,-0.0862803,-0.0104503,3.06407,-1821.1,-2433.28,256.84
5986,0,0.00703788,-0.0105476,0.00622216,-3133.89,6311.54,756.079,-0.0846067,-0.0110645,3.06401,-1821.37,-2433.24,265.076
5987,0,0.007257,-0.00918644,0.00499317,-3134.02,6311.57,756.152,-0.0825688,-0.0113989,3.06461,-1821.59,-2433.23,273.381
5988,0,0.00711172,-0.00899656,0.00558076,-3134.47,6311.61,756.084,-0.0814543,-0.0125279,3.06424,-1821.94,-2433.16,281.637
5989,0,0.00757929,-0.0127311,0.013119,-3133.01,6311.23,756.267,-0.0792519,-0.0132362,3.06424,-1822.26,-2433.14,289.921
5990,0,0.00734795,-0.0135449,0.0127222,-3133.06,6311.26,756.25,-0.0781908,-0.0140519,3.06448,-1822.6,-2433.16,298.196
5991,0,0.00745543,-0.0122259,0.0129106,-3133.13,6311.26,756.311,-0.0765962,-0.0144023,3.06453,-1822.94,-2433.19,306.471
5992,0,0.00718126,-0.0100387,0.0068305,-3133.83,6311.49,756.16,-0.0752105,-0.0150808,3.06458,-1823.33,-2433.2,314.742
5993,0,0.00772385,-0.0124394,0.0129336,-3133.03,6311.24,756.277,-0.073619,-0.0158728,3.06462,-1823.73,-2433.25,322.993
5994,0,0.00747257,-0.0130336,0.0130553,-3133.01,6311.25,756.296,-0.0722304,-0.0157729,3.06477,-1824.14,-2433.33,331.232
5995,0,0.00716579,-0.0127547,0.0130207,-3133.26,6311.25,756.165,-0.0702334,-0.0158868,3.06488,-1824.55,-2433.44,339.481
5996,0,0.0064687,-0.00976055,0.0114681,-3134.2,6311.32,756.095,-0.0695464,-0.0161387,3.06483,-1824.95,-2433.5,347.62
5997,0,0.00748501,-0.012794,0.0133306,-3133.08,6311.25,756.322,-0.068942,-0.0164422,3.06462,-1825.23,-2433.47,355.848
5998,0,0.00699922,-0.00891033,0.00683521,-3134.29,6311.54,756.089,-0.0652628,-0.0141743,3.06525,-1825.89,-2433.81,363.936
5999,0,0.0069904,-0.0103066,0.00566947,-3133.97,6311.54,756.113,-0.0639205,-0.0126498,3.06522,-1826.3,-2433.93,372.066
6000,0,0.00648643,-0.00839216,0.00504202,-3134.56,6311.56,755.998,-0.0623922,-0.0118407,3.06529,-1826.78,-2434.08,380.084
6001,0,0.00726213,-0.0125311,0.0131111,-3132.96,6311.2,756.371,-0.0606656,-0.0106802,3.06525,-1827.32,-2434.25,388.106
6002,0,0.00774464,-0.0151897,0.0140466,-3132.54,6311.18,756.307,-0.0588181,-0.00879521,3.06552,-1827.78,-2434.46,396.076
6003,0,0.00732185,-0.0127305,0.012847,-3133.19,6311.27,756.215,-0.0577913,-0.00795466,3.0656,-1828.21,-2434.62,403.975
6004,0,0.00752244,-0.0133592,0.0133321,-3133.02,6311.24,756.21,-0.0563131,-0.00653376,3.06558,-1828.73,-2434.86,411.845
6005,0,0.00736765,-0.0136232,0.0132319,-3132.78,6311.2,756.325,-0.0544543,-0.00543782,3.06562,-1829.25,-2435.13,419.636
6006,0,0.00687973,-0.0118572,0.0119701,-3133.53,6311.26,756.194,-0.0535269,-0.00436222,3.06549,-1829.76,-2435.36,427.435
6007,0,0.00710553,-0.0101603,0.00570142,-3133.9,6311.54,756.126,-0.0529896,-0.00342469,3.06561,-1830.25,-2435.59,435.102
6008,0,0.00749703,-0.0128324,0.0128143,-3133.07,6311.24,756.238,-0.0525603,-0.00264577,3.06557,-1830.73,-2435.86,442.688
6009,0,0.00762588,-0.0137273,0.013291,-3133.02,6311.25,756.23,-0.0525599,-0.00183725,3.06546,-1831.25,-2436.12,450.248
6010,0,0.00740751,-0.00989114,0.00619957,-3133.83,6311.54,756.188,-0.0533485,-0.00154094,3.06545,-1831.7,-2436.35,457.688
6011,0,0.00696055,-0.00944304,0.00535473,-3133.99,6311.5,756.124,-0.0535542,-0.000932605,3.06547,-1832.2,-2436.62,465.076
6012,0,0.0074252,-0.0105715,0.00582677,-3133.77,6311.55,756.159,-0.054967,-0.00116351,3.06526,-1832.58,-2436.82,472.416
6013,0,0.00686136,-0.0098593,0.00611467,-3134.03,6311.5,756.1,-0.0546043,-2.59957e-05,3.0656,-1833.25,-2437.19,479.597
6014,0,0.00773174,-0.0129222,0.0126838,-3133.06,6311.27,756.205,-0.0554903,0.000575737,3.06579,-1833.71,-2437.53,486.775
6015,0,0.00714512,-0.0115525,0.0126919,-3133.43,6311.28,756.209,-0.0565694,0.000619385,3.06579,-1834.18,-2437.77,493.813
6016,0,0.00751645,-0.0129139,0.0130778,-3133.01,6311.27,756.278,-0.0572314,0.000894648,3.06565,-1834.7,-2438.07,500.798
6017,0,0.00720466,-0.0127361,0.013216,-3132.98,6311.19,756.298,-0.0582332,0.000922057,3.06559,-1835.15,-2438.33,507.652
6018,0,0.00771008,-0.0137307,0.0131068,-3133.08,6311.29,756.177,-0.0588404,0.000862122,3.06553,-1835.66,-2438.67,514.467
6019,0,0.0074772,-0.0128381,0.012585,-3133.03,6311.23,756.268,-0.059335,0.000985313,3.0657,-1836.16,-2438.99,521.134
6020,0,0.00734427,-0.0121169,0.0132017,-3133.08,6311.2,756.344,-0.0597395,0.00141527,3.0655,-1836.67,-2439.29,527.723
6021,0,0.00720723,-0.0113944,0.0125796,-3133.58,6311.3,756.195,-0.0596061,0.0018619,3.06561,-1837.17,-2439.63,534.222
6022,0,0.00479293,-0.00758489,0.014017,-3133.42,6310.89,756.491,-0.0606638,0.00182593,3.06562,-1837.65,-2439.92,540.621
6023,0,0.00731128,-0.0126667,0.0129587,-3133.04,6311.21,756.273,-0.0607903,0.00218948,3.06587,-1838.13,-2440.26,546.914
6024,0,0.00748555,-0.0125592,0.0133582,-3133.01,6311.21,756.308,-0.0598412,0.00233886,3.06581,-1838.71,-2440.54,553.165
6025,0,0.00727236,-0.0124975,0.0126632,-3133.08,6311.23,756.257,-0.0597929,0.00250922,3.06589,-1839.09,-2440.95,559.235
6026,0,0.0077651,-0.013451,0.0127964,-3133.01,6311.29,756.247,-0.059594,0.0025553,3.06596,-1839.61,-2441.22,565.182
6027,0,0.0075078,-0.0132119,0.0134216,-3133.05,6311.22,756.267,-0.0594754,0.00308106,3.06589,-1840.08,-2441.55,571.057
6028,0,0.00755052,-0.0141953,0.0134125,-3132.66,6311.21,756.292,-0.0587229,0.00314426,3.06589,-1840.57,-2441.89,576.865
6029,0,0.00723663,-0.0132265,0.0131953,-3133.05,6311.25,756.219,-0.0574291,0.0044786,3.06583,-1841.08,-2442.23,582.525
6030,0,0.00743056,-0.0132994,0.0128648,-3133.12,6311.26,756.181,-0.0565066,0.0056595,3.06594,-1841.58,-2442.57,588.102
6031,0,0.00713861,-0.0109698,0.0121784,-3133.64,6311.3,756.176,-0.0548312,0.00667716,3.06602,-1842.04,-2442.92,593.513
6032,0,0.00763977,-0.0136339,0.0132929,-3132.98,6311.26,756.215,-0.0534973,0.00806553,3.06613,-1842.52,-2443.24,598.86
6033,0,0.00756298,-0.0122625,0.0124729,-3133.51,6311.36,756.15,-0.0510741,0.0103627,3.06614,-1842.96,-2443.54,604.074
6034,0,0.00786864,-0.013556,0.012836,-3133.15,6311.31,756.189,-0.0488981,0.012834,3.06617,-1843.46,-2443.97,609.288
6035,0,0.00756684,-0.0130278,0.0132036,-3132.93,6311.22,756.269,-0.0460814,0.0150476,3.06631,-1843.97,-2444.23,614.275
6036,0,0.00728749,-0.0116792,0.0127877,-3133.09,6311.19,756.338,-0.0446065,0.0177162,3.06633,-1844.42,-2444.59,619.175
6037,0,0.00698521,-0.0127684,0.0121123,-3133.57,6311.28,756.102,-0.0423807,0.0196184,3.06662,-1844.83,-2444.9,624.017
6038,0,0.007185,-0.0113987,0.0124645,-3133.65,6311.29,756.182,-0.040744,0.0218532,3.06643,-1845.29,-2445.2,628.662
6039,0,0.00708691,-0.00885187,0.00570377,-3134.47,6311.6,756.011,-0.03903,0.0238219,3.06656,-1845.74,-2445.52,633.299
6040,0,0.00711038,-0.0102438,0.00670495,-3133.79,6311.47,756.166,-0.0385138,0.0248117,3.06656,-1846.17,-2445.85,637.811
6041,0,0.00761135,-0.0132186,0.0124821,-3133.22,6311.31,756.122,-0.0383811,0.025494,3.06667,-1846.61,-2446.1,642.136
6042,0,0.00698101,-0.0112225,0.0120257,-3133.59,6311.27,756.172,-0.0398542,0.0254776,3.06635,-1846.86,-2446.33,646.448
6043,0,0.00742827,-0.0116766,0.0126969,-3133.43,6311.29,756.241,-0.0396772,0.0257271,3.06653,-1847.35,-2446.69,650.584
6044,0,0.00657503,-0.00834172,0.00424702,-3134.52,6311.6,756.042,-0.0405184,0.0258606,3.0666,-1847.76,-2446.93,654.626
6045,0,0.00667307,-0.00855075,0.00551355,-3134.33,6311.55,756.161,-0.0416269,0.0254628,3.0665,-1848.16,-2447.2,658.599
6046,0,0.00728053,-0.0127275,0.013259,-3133.1,6311.21,756.26,-0.0423052,0.024727,3.06675,-1848.51,-2447.48,662.475
6047,0,0.00759314,-0.0133406,0.0130292,-3133.03,6311.25,756.191,-0.0438535,0.0238716,3.06638,-1848.86,-2447.6,666.209
6048,0,0.00753293,-0.0137757,0.0133948,-3133.04,6311.28,756.338,-0.0447983,0.0229905,3.06641,-1849.22,-2447.92,669.868
6049,0,0.00756086,-0.0130079,0.0132457,-3132.98,6311.25,756.313,-0.0458492,0.0220297,3.06631,-1849.55,-2448.17,673.458
6050,0,0.00729317,-0.0123723,0.0129397,-3133.25,6311.26,756.222,-0.0474539,0.0207599,3.06618,-1849.88,-2448.34,676.892
6051,0,0.00734492,-0.0137668,0.0137295,-3132.79,6311.2,756.291,-0.0478575,0.0203107,3.06632,-1850.23,-2448.58,680.277
6052,0,0.00702659,-0.0105356,0.00564573,-3133.9,6311.54,756.133,-0.0486465,0.019237,3.06621,-1850.59,-2448.77,683.536
6053,0,0.0072925,-0.0121834,0.0125937,-3133.46,6311.29,756.161,-0.0489468,0.0186347,3.0663,-1850.89,-2448.97,686.757
6054,0,0.00778059,-0.0137855,0.013054,-3132.97,6311.29,756.207,-0.0491815,0.01799,3.06631,-1851.19,-2449.18,689.84
6055,0,0.00734636,-0.0100174,0.00577325,-3133.99,6311.58,756.112,-0.0497142,0.0175681,3.06627,-1851.48,-2449.39,692.837
6056,0,0.00638211,-0.00921334,0.0114738,-3134.21,6311.33,756.074,-0.0496181,0.0172876,3.06638,-1851.78,-2449.61,695.788
6057,0,0.00679608,-0.0100172,0.00577276,-3133.92,6311.5,756.143,-0.0493951,0.0167375,3.06639,-1852.08,-2449.77,698.627
6058,0,0.00723862,-0.0128193,0.0127461,-3133.17,6311.24,756.256,-0.0489566,0.0164502,3.0664,-1852.43,-2449.92,701.354
6059,0,0.00750852,-0.0127542,0.0129852,-3132.88,6311.23,756.333,-0.0497307,0.0158631,3.06633,-1852.69,-2450.03,703.966
6060,0,0.00769203,-0.0136972,0.0130628,-3132.99,6311.28,756.218,-0.0494005,0.0159692,3.06634,-1852.96,-2450.26,706.59
6061,0,0.00734385,-0.00903501,0.00495116,-3134.55,6311.68,755.957,-0.0492122,0.0156737,3.06637,-1853.27,-2450.39,709.083
6062,0,0.0069907,-0.0106663,0.00673587,-3133.74,6311.49,756.161,-0.0493493,0.0156521,3.06652,-1853.55,-2450.59,711.504
6063,0,0.00762603,-0.0127943,0.0127009,-3133.34,6311.3,756.181,-0.0498051,0.0156504,3.06664,-1853.81,-2450.75,713.859
6064,0,0.00473197,-0.00585989,0.0147791,-3133.85,6310.87,756.485,-0.0487987,0.0160902,3.06664,-1854.09,-2450.91,716.189
6065,0,0.00689843,-0.0125888,0.0128829,-3133.14,6311.19,756.266,-0.0486969,0.0161431,3.06658,-1854.34,-2451.01,718.335
6066,0,0.0073437,-0.0122513,0.012965,-3133.13,6311.22,756.324,-0.0488738,0.0165182,3.0666,-1854.6,-2451.13,720.41
6067,0,0.00721327,-0.00905606,0.00561094,-3134.45,6311.64,756.018,-0.047741,0.0177572,3.06667,-1854.89,-2451.33,722.508
6068,0,0.00723046,-0.0110811,0.012253,-3133.59,6311.32,756.184,-0.0489739,0.0175111,3.06621,-1855,-2451.36,724.516
6069,0,0.00729492,-0.0120411,0.0129286,-3133.45,6311.27,756.167,-0.0472496,0.0186853,3.06659,-1855.37,-2451.63,726.429
